District,Kharif Insurance No. (Others),Kharif insured Pmfby under Amt,Pmfby Kharif Farmers Covered No.,Loan Current Amount Year Achievement Crop
East Garo Hills,36,33.21,36,38.71
East Jaintia Hills,0,0,0,73.39
East Khasi Hills,0,0,0,3105.13
North Garo Hills,0,0,0,0.74
Ri Bhoi,14,15.45,14,353.25
South Garo Hills,0,0,0,2.84
West Garo Hills,52,21.22,52,51.17
West Jaintia Hills,0,0,0,2547.55
West Khasi Hills,19,17.64,19,214.49
