District,Plantation & Horticulture Amt,A/C Nos Plantation horticulture &,Farm Mechanization Amt,Farm Mechanization A/C,Amt wasteland Forestry and Dev.,A/C wasteland Forestry Nos and Dev.,Crop Amt Loan,Loan Crop A/C
East Garo Hills,0,0,1.53,4,0,0,98.64,200
East Jaintia Hills,0,0,0,1,1.56,1,79.16,121
East Khasi Hills,5.31,4,81.86,265,31.08,36,687.46,965
Eastern West Khasi Hills,0,0,27.68,86,2.92,1,294.66,519
North Garo Hills,0,0,0,0,0,0,68.44,236
Ri Bhoi,0,0,4.46,14,1.31,2,925.32,1344
South Garo Hills,0,0,0,0,0,0,84.02,142
South West Garo Hills,0,0,42.74,132,0,0,45.18,149
South West Khasi Hills,0,0,0,0,0,0,74.48,126
West Garo Hills,0,0,96.43,271,0,0,552,507
West Jaintia Hills,0,0,52.8,137,0,0,255.28,339
West Khasi Hills,0,0,0,0,3.36,2,248.92,431
