district,kcc_fisheries_new_target_no,amt,disbursed_no,amt,achievement_no,amt,kcc_fisheries_renew_target_no,amt,disbursed_no,amt,achievement_no,amt,total_fisheries_ah_new_renew_target_no,amt,disbursed_no,amt,achievement_no,amt
Araria,1512,7.06,40,7.06,2.57,7.06,46,7.06,40,7.06,2.57,7.06,1558,7.06,40,7.06,2.57,7.06
Arwal,798,0.00,0,0.00,0.00,0.00,24,0.00,0,0.00,0.00,0.00,822,0.00,0,0.00,0.00,0.00
Aurangabad,2630,0.66,3,0.66,0.11,0.66,82,0.66,3,0.66,0.11,0.66,2712,0.66,3,0.66,0.11,0.66
Banka,746,9.61,13,9.61,1.69,9.61,24,9.61,13,9.61,1.69,9.61,770,9.61,13,9.61,1.69,9.61
Begusarai,3950,4.08,9,4.08,0.22,4.08,122,4.08,9,4.08,0.22,4.08,4072,4.08,9,4.08,0.22,4.08
Bhagalpur,1144,3.22,12,3.22,1.02,3.22,36,3.22,12,3.22,1.02,3.22,1180,3.22,12,3.22,1.02,3.22
Bhojpur,2088,0.00,2,0.00,0.09,0.00,64,0.00,2,0.00,0.09,0.00,2152,0.00,2,0.00,0.09,0.00
Buxar,1144,0.17,2,0.17,0.17,0.17,36,0.17,2,0.17,0.17,0.17,1180,0.17,2,0.17,0.17,0.17
Darbhanga,1884,1.65,9,1.65,0.46,1.65,58,1.65,9,1.65,0.46,1.65,1942,1.65,9,1.65,0.46,1.65
Gaya,2860,0.88,4,0.88,0.14,0.88,88,0.88,4,0.88,0.14,0.88,2948,0.88,4,0.88,0.14,0.88
Gopalganj,2052,0.85,8,0.85,0.38,0.85,64,0.85,8,0.85,0.38,0.85,2116,0.85,8,0.85,0.38,0.85
Jamui,614,0.95,8,0.95,1.26,0.95,20,0.95,8,0.95,1.26,0.95,634,0.95,8,0.95,1.26,0.95
Jehanabad,618,5.96,7,5.96,1.10,5.96,20,5.96,7,5.96,1.10,5.96,638,5.96,7,5.96,1.10,5.96
Kaimur (Bhabua),1948,0.10,1,0.10,0.05,0.10,60,0.10,1,0.10,0.05,0.10,2008,0.10,1,0.10,0.05,0.10
Katihar,4106,1.70,24,1.70,0.57,1.70,126,1.70,24,1.70,0.57,1.70,4232,1.70,24,1.70,0.57,1.70
Khagaria,1524,7.51,37,7.51,2.35,7.51,48,7.51,37,7.51,2.35,7.51,1572,7.51,37,7.51,2.35,7.51
Kishanganj,646,30.93,33,30.93,4.95,30.93,20,30.93,33,30.93,4.95,30.93,666,30.93,33,30.93,4.95,30.93
Lakhisarai,708,1.10,4,1.10,0.55,1.10,22,1.10,4,1.10,0.55,1.10,730,1.10,4,1.10,0.55,1.10
Madhepura,936,1.04,5,1.04,0.52,1.04,28,1.04,5,1.04,0.52,1.04,964,1.04,5,1.04,0.52,1.04
Madhubani,3404,7.07,155,7.07,4.42,7.07,106,7.07,155,7.07,4.42,7.07,3510,7.07,155,7.07,4.42,7.07
Munger,1282,0.30,5,0.30,0.38,0.30,40,0.30,5,0.30,0.38,0.30,1322,0.30,5,0.30,0.38,0.30
Muzaffarpur,3432,4.47,28,4.47,0.79,4.47,106,4.47,28,4.47,0.79,4.47,3538,4.47,28,4.47,0.79,4.47
Nalanda,2212,5.35,32,5.35,1.40,5.35,68,5.35,32,5.35,1.40,5.35,2280,5.35,32,5.35,1.40,5.35
Nawada,576,0.67,0,0.67,0.00,0.67,18,0.67,0,0.67,0.00,0.67,594,0.67,0,0.67,0.00,0.67
Pashchim Champaran,2864,0.81,11,0.81,0.37,0.81,88,0.81,11,0.81,0.37,0.81,2952,0.81,11,0.81,0.37,0.81
Patna,1608,24.25,46,24.25,2.77,24.25,50,24.25,46,24.25,2.77,24.25,1658,24.25,46,24.25,2.77,24.25
Purbi Champaran,2652,2.63,16,2.63,0.59,2.63,82,2.63,16,2.63,0.59,2.63,2734,2.63,16,2.63,0.59,2.63
Purnia,2600,3.21,53,3.21,1.98,3.21,80,3.21,53,3.21,1.98,3.21,2680,3.21,53,3.21,1.98,3.21
Rohtas,2108,1.38,5,1.38,0.23,1.38,66,1.38,5,1.38,0.23,1.38,2174,1.38,5,1.38,0.23,1.38
Saharsa,472,17.28,30,17.28,6.17,17.28,14,17.28,30,17.28,6.17,17.28,486,17.28,30,17.28,6.17,17.28
Samastipur,4698,1.98,15,1.98,0.31,1.98,146,1.98,15,1.98,0.31,1.98,4844,1.98,15,1.98,0.31,1.98
Saran,5290,1.14,17,1.14,0.31,1.14,164,1.14,17,1.14,0.31,1.14,5454,1.14,17,1.14,0.31,1.14
Sheikhpura,782,1.49,3,1.49,0.37,1.49,24,1.49,3,1.49,0.37,1.49,806,1.49,3,1.49,0.37,1.49
Sheohar,754,0.51,2,0.51,0.26,0.51,24,0.51,2,0.51,0.26,0.51,778,0.51,2,0.51,0.26,0.51
Sitamarhi,2180,3.38,5,3.38,0.22,3.38,68,3.38,5,3.38,0.22,3.38,2248,3.38,5,3.38,0.22,3.38
Siwan,6088,5.04,36,5.04,0.57,5.04,188,5.04,36,5.04,0.57,5.04,6276,5.04,36,5.04,0.57,5.04
Supaul,658,0.29,1,0.29,0.15,0.29,20,0.29,1,0.29,0.15,0.29,678,0.29,1,0.29,0.15,0.29
Vaishali,6118,0.98,7,0.98,0.11,0.98,190,0.98,7,0.98,0.11,0.98,6308,0.98,7,0.98,0.11,0.98
