district,no_of_kcc_issued_during_quarter_including_renewal,amount_disbursed_during_quarter,total_no_of_kcc_as_on_end_of_current_quarter,outstanding_amount_as_on_end_of_current_quarter,out_of_total_no_of_kcc_number_of_rupay_card_issued,kcc_card_activated,no_of_kcc_issued_during_fin_year_including_renewal,amount_disbursed_fin_year
Araria,10279,96.19,109009,779.68,35020,6626,10279,96.19
Arwal,221,2.38,13462,92.16,4080,3122,221,2.38
Aurangabad,2890,30.02,79921,478.19,23971,11417,2890,30.02
Banka,2089,15.97,70410,392.26,18948,11623,2089,15.97
Begusarai,9647,71.35,162309,944.17,42194,20208,9647,71.35
Bhagalpur,4377,45.61,109256,720.96,22469,16692,4377,45.61
Bhojpur,1824,14.46,60453,348.48,25555,17984,1824,14.46
Buxar,1897,20.84,47454,327.91,17258,9516,1897,20.84
Darbhanga,9459,57.77,69611,399.44,25806,3663,9459,57.77
Gaya,4469,36.46,116429,764.1,14677,4642,4469,36.46
Gopalganj,8000,63.43,126229,922,73644,8810,8000,63.43
Jamui,1954,11.8,74007,524.19,20008,11873,1954,11.8
Jehanabad,600,9.78,26771,207.52,5236,3260,600,9.78
Kaimur (Bhabua),2553,49.56,71163,554.25,19078,3110,2553,49.56
Katihar,6683,69.57,75581,728.9,40978,8776,6683,69.57
Khagaria,4915,37.31,104353,560.53,18537,7873,4915,37.31
Kishanganj,7363,55.64,71612,548.69,33269,2884,7363,55.64
Lakhisarai,999,9.32,46234,343.14,4107,1654,999,9.32
Madhepura,5874,45.9,60471,465.12,27860,5667,5874,45.9
Madhubani,12646,79.98,160002,823.63,70632,9707,12646,79.98
Munger,726,7.75,44463,272.84,5497,5192,726,7.75
Muzaffarpur,16969,139.46,177294,1231.08,66618,10812,16969,139.46
Nalanda,1837,23.29,104276,727.57,16871,9376,1837,23.29
Nawada,2138,19.01,73847,515.28,9527,4815,2138,19.01
Pashchim Champaran,17046,135.56,185658,1353.81,84915,15622,17046,135.56
Patna,2817,50.25,99115,740.74,18133,8326,2817,50.25
Purbi Champaran,20675,166.32,262080,1853.22,120120,19571,20675,166.32
Purnia,11518,126.7,124290,1047.59,58494,13392,11518,126.7
Rohtas,3205,55.24,111080,855.88,18202,8414,3205,55.24
Saharsa,5644,51.17,63574,498.81,25473,4121,5644,51.17
Samastipur,10867,87.42,200307,1297.47,54085,33750,10867,87.42
Saran,6585,57.02,81808,704.38,50141,6974,6585,57.02
Sheikhpura,749,9.98,17779,141.06,6369,3841,749,9.98
Sheohar,2673,24.21,27266,194.71,9766,1469,2673,24.21
Sitamarhi,9709,71.35,108778,768.45,35018,4242,9709,71.35
Siwan,8773,71.11,89595,710.06,50696,4392,8773,71.11
Supaul,5224,46.41,69577,619.5,45205,8085,5224,46.41
Vaishali,11901,128.49,128997,1008.36,68645,13873,11901,128.49
