district,no_of_kcc_for_fisheries_issued_during_quarter_including_renew,amount_disbursed_during_quarter,total_no_of_kcc_for_fisheries_as_on_end_of_current_quarter,outstanding_amount_as_on_end_of_current_quarter,out_of_total_no_of_kcc_for_fisheries_number_of_rupay_card_iss,kcc_card_activate,no_of_kcc_for_fisheriesissued_during_fin_year_including_renew,amount_disbursed_fin_year
Araria,40,0.56,232,3.51,2,0,40,0.56
Arwal,0,0.00,5,0.05,1,1,0,0
Aurangabad,3,0.09,31,0.41,2,1,3,0.09
Banka,13,0.37,47,1.49,15,13,13,0.37
Begusarai,9,0.83,243,4.49,16,1,9,0.83
Bhagalpur,12,0.19,82,1.34,2,1,12,0.19
Bhojpur,2,0.00,18,0.16,1,1,2,0
Buxar,2,0.01,11,0.09,0,0,2,0.01
Darbhanga,9,0.15,43,0.88,8,4,9,0.15
Gaya,4,0.13,18,0.40,1,1,4,0.13
Gopalganj,8,0.09,22,0.46,5,2,8,0.09
Jamui,8,0.03,15,0.19,5,4,8,0.03
Jehanabad,7,0.18,36,0.36,5,4,7,0.18
Kaimur (Bhabua),1,0.01,2,0.06,0,0,1,0.01
Katihar,24,0.37,111,2.45,3,1,24,0.37
Khagaria,37,0.60,165,3.65,0,0,37,0.6
Kishanganj,33,1.03,70,2.04,0,0,33,1.03
Lakhisarai,4,0.04,15,0.12,3,3,4,0.04
Madhepura,5,0.05,39,0.33,2,1,5,0.05
Madhubani,155,1.26,478,8.62,104,38,155,1.26
Munger,5,0.02,25,0.30,3,1,5,0.02
Muzaffarpur,28,0.78,124,2.62,12,2,28,0.78
Nalanda,32,0.60,84,3.00,11,3,32,0.6
Nawada,0,0.02,12,0.05,0,0,0,0.02
Pashchim Champaran,11,0.13,93,1.13,2,0,11,0.13
Patna,46,2.01,194,5.62,6,5,46,2.01
Purbi Champaran,16,0.36,170,3.71,12,12,16,0.36
Purnia,53,0.43,140,2.39,1,1,53,0.43
Rohtas,5,0.15,40,1.40,4,4,5,0.15
Saharsa,30,0.41,253,4.90,12,5,30,0.41
Samastipur,15,0.48,140,2.41,6,5,15,0.48
Saran,17,0.32,72,1.95,6,2,17,0.32
Sheikhpura,3,0.06,35,0.79,8,8,3,0.06
Sheohar,2,0.02,18,0.22,1,1,2,0.02
Sitamarhi,5,0.38,73,2.05,6,2,5,0.38
Siwan,36,1.59,57,1.76,21,4,36,1.59
Supaul,1,0.01,4,0.04,0,0,1,0.01
Vaishali,7,0.31,47,0.70,9,4,7,0.31
