District,Total MUDRA Disbursement Amt,Total MUDRA Disbursement No.,Tarun Amt,Tarun No.,Kishore Amt,Kishore No.,Sishu amt,Sishu No.
Eastern West Khasi Hills,194.69,55,130.61,17,58.78,25,5.3,13
East Garo Hills,762.02,817,331.54,44,232.05,182,198.43,591
East Jaintia Hills,1004.15,250,620.77,76,372.78,147,10.6,27
East Khasi Hills,11786.04,9628,3839.17,488,6045.14,3964,1901.73,5176
North Garo Hills,436.11,238,160.17,22,258.55,112,17.39,104
Ri Bhoi,2930.05,2720,825.29,107,1493.2,947,611.56,1666
South Garo Hills,193.99,123,107.24,13,77.55,31,9.2,79
South West Garo Hills,395.09,158,198.75,26,174.84,73,21.5,59
South West Khasi Hills,261.41,85,146.15,19,109.05,51,6.21,15
West Garo Hills,4260.37,3572,2026.23,255,1239.27,658,994.87,2659
West Jaintia Hills,2389.56,1208,1061.67,137,1173.19,652,154.7,419
West Khasi Hills,698.39,282,301.13,39,382.33,203,14.93,40
