District,USSD Amt,USSD A/C,Debit & Credit Cards Amt,Debit & Credit Cards A/C,IMPS Amt,IMPS A/C,Bharat QR Code Amt,Bharat QR Code A/C,BHIM Aadhaar Amt,BHIM Aadhaar A/C,BHIM/UPI Amt,BHIM/UPI A/C
Eastern West Khasi Hills,533.21,18026,2751.02,72550,1521.74,10316,0,0,8987.32,549820,6038.04,301708
East Garo Hills,897.23,38833,1992.27,46152,4986.13,27435,451.71,527,37575.35,2741947,12919.77,313142
East Jaintia Hills,1103.06,32667,6847.09,134906,270970.81,68963,821.06,1723,44672.64,2248709,56969.69,1887233
East Khasi Hills,31386.95,1397399,107367.52,2672629,1019834.07,612166,3272.17,8291,383175.25,22272515,546763.48,11434431
North Garo Hills,933.7,32699,1520.36,39152,611.62,3005,0.02,2,43856.7,3116623,3072.26,201795
Ri Bhoi,5252.31,224814,11688.16,312364,275414.22,56410,960.98,2052,102534.96,6224726,58444.41,2145912
South Garo Hills,546.19,19078,634.61,16451,422.47,2472,0,0,28085.27,1927744,2009.3,69866
South West Garo Hills,971.91,33538,1090.21,26226,8210.65,50160,0.33,6,39803.03,2676873,28455.24,723768
South West Khasi Hills,517.11,17847,3268.31,74021,525.06,3081,88.91,206,10088.97,602257,1930.05,81188
West Garo Hills,5163.99,198044,9019.14,211443,236917.16,85047,898.52,1795,219629.24,12986786,49060.42,1598319
West Jaintia Hills,2317.42,95351,13037.26,319985,154255.33,49235,48.78,607,47007.14,2899807,31359.26,1181317
West Khasi Hills,974.06,31764,6169,160007,3369.89,20657,17.04,71,18397.53,1075084,14885.2,666847
