District,Total Minority Disbursement Amt,Total Minority Disbursement No.,Jains Amt,Jains No.,Sikhs Amt,Sikhs No.,Buddhists Amt,Buddhists No.,Muslims Amt,Muslims No.,Christians Amt,Christians No.
East Garo Hills,418.16,158,0,0,5.97,9,0,0,233.91,94,178.28,55
East Jaintia Hills,2488.87,764,0,0,0.2,1,0,0,395.73,79,2092.94,684
East Khasi Hills,34150.24,11654,53.63,9,505.54,243,282.75,35,4660.56,810,28647.76,10557
North Garo Hills,225.97,126,0,0,0,0,0,0,43.93,10,182.04,116
Ri Bhoi,9711.36,3482,76.77,4,2394.94,12,65.02,7,3404.94,516,3769.69,2943
South Garo Hills,127.97,85,0,0,0,0,0,0,33.4,7,94.57,78
West Garo Hills,7229.72,3005,0,0,2.33,1,5.8,3,3097.36,771,4124.23,2230
West Jaintia Hills,6170.15,2245,1.8,1,0,0,0,0,61.22,20,6107.13,2224
West Khasi Hills,2321.12,1240,0,0,8.95,2,0.01,1,95.92,72,2216.24,1165
