District,ST Outstanding Amt,ST Outstanding No.,ST Disbursement Amt,ST Disbursement No.,SC Outstanding Amt,SC Outstanding No.,SC Disbursement Amt,SC Disbursement No.
Eastern West Khasi Hills,48069.77,34626,8951.5,4766,4617.96,1213,1989.17,344
East Garo Hills,6485.12,3853,763.67,500,131.83,36,30.55,6
East Jaintia Hills,24919.65,13921,4029.37,1290,389.97,131,158.64,32
East Khasi Hills,581474.83,145686,67040.09,23265,11196.32,5258,3908.8,1190
North Garo Hills,43062.77,14839,53110.54,2961,5971.06,1093,402.3,133
Ri Bhoi,46228.07,30000,8967.86,4193,4787.99,1406,1447.72,267
South Garo Hills,4580.79,3546,610.38,383,37.29,20,10.23,4
South West Garo Hills,8246.1,6177,1230.85,775,245.49,89,42.5,7
South West Khasi Hills,5097.12,3742,715.49,692,40.46,15,28.8,1
West Garo Hills,26670.66,15405,4117.16,1633,1310.75,997,264.26,296
West Jaintia Hills,67877.42,24649,11028.08,3272,3505.82,1115,860.99,243
West Khasi Hills,18620.94,12601,2695.07,1372,308.83,68,116.96,16
