District,Total Enrolment,APY Enrolment,PMSBY Renewals,PMSBY Eligible Cases,PMSBY Enrolment,PMJJBY Renewals,PMJJBY Eligible Cases,PMJJBY Enrolment
Eastern West Khasi Hills,39662,900,14960,78199,23595,7639,61442,15167
East Garo Hills,128829,2655,19636,93376,84107,7365,62497,42067
East Jaintia Hills,96220,2216,27922,108634,58355,15475,85796,35649
East Khasi Hills,501040,17972,103057,848737,312077,60120,632983,170991
North Garo Hills,152078,8247,21404,108675,94205,8303,67495,49626
Ri Bhoi,226244,4684,44133,239266,149373,19002,179816,72187
South Garo Hills,55943,1446,8901,69641,37714,2925,47478,16783
South West Garo Hills,225208,3068,35200,107462,152111,11786,64653,70029
South West Khasi Hills,41289,503,11669,59797,27615,4100,44612,13171
West Garo Hills,550672,11949,89722,387721,366657,31391,245082,172066
West Jaintia Hills,146044,2690,41124,229956,94632,22071,181588,48722
West Khasi Hills,67422,1226,22217,110763,43353,11691,87507,22843
