District,NRLM NPA Amt,No. NRLM NPA,NRLM Irregular A/C Amt,NRLM Irregular A/C No.,NRLM O/S Amt,NRLM O/S No.,Self-Help Group Current Year Amt,Self-Help Group Current Year No.
Eastern West Khasi Hills,4.15,55,40.94,26,1531.4,868,677.98,216
East Garo Hills,15.89,233,13.34,34,682.57,747,464.95,311
East Jaintia Hills,2.97,25,30.58,25,1029.3,854,352.8,164
East Khasi Hills,3.72,125,16.65,20,2823.21,2364,1435.38,923
North Garo Hills,23.19,193,10.63,33,558.81,689,440.48,439
Ri Bhoi,2.01,45,23.06,40,1701.94,1572,859.98,368
South Garo Hills,25.85,138,48.62,66,425.43,449,191.29,174
South West Garo Hills,3.74,35,15.92,16,705.96,688,376.21,221
South West Khasi Hills,2.33,16,16.48,12,802.27,616,205.01,163
West Garo Hills,11.46,322,96.44,141,2050.57,1860,1295.95,763
West Jaintia Hills,3.28,63,19.59,21,1808.28,1464,905.42,371
West Khasi Hills,2.76,29,33.83,27,1239.15,790,540.82,201
