District,Col_1,Col_2,Col_3
Arwal,185,83.33,
Aurangabad,92.27,4,
Banka,75.45,,
Begusarai,312,82.32,
Buxar,38.53,,
Gopalganj,59.57,,
Jamui,97.46,,
Jehanabad,36,69.23,0
Lakhisarai,88.29,18,
Nawada,90.63,,
Purnia,45,,
Rohtas,87.10,,
Saharsa,90.48,12,
Samastipur,72.30,,
Saran,95.02,,
Sheikhpura,60.10,35,
Sheohar,88.89,,
Siwan,66.32,26,
