District,Col_1,Col_2,Col_3,Col_4,Col_5
Araria,9,9,,,
Arwal,5,5,,,
Aurangabad,11,11,,,
Banka,11,11,,,
Begusarai,18,,,,
Bhagalpur,16,16,,,
Bhojpur,14,,,,
Buxar,11,,,,
Gaya,24,21,7,3,099
Gopalganj,14,,,,
Jamui,10,10,,,
Kaimur (Bhabua),11,0,,,
Katihar,16,16,,,
Khagaria,7,7,,,
Lakhisarai,7,,,,
Madhubani,21,,,,
Muzaffarpur,16,,,,
Nalanda,19,,,,
Nawada,14,14,,,
Pashchim Champaran,18,18,,,
Patna,23,23,,,
Rohtas,19,19,,,
Samastipur,8,20,20,,
Saran,20,20,,,
Sheikhpura,6,6,,,
Sheohar,5,5,,,
Sitamarhi,6,17,,,
Siwan,19,19,,,
Vaishali,16,16,0,,
