District,Branch,Deposits,Advances,CD Ratio
Araria,166,570194,,88.37
Arwal,65,141821,,47.02
Aurangabad,204,889699,,66.17
Banka,126,495703,,52.85
Begusarai,233,1491351,,75.21
Bhagalpur,285,1520171,,51.23
Bhojpur,244,1264609,,43.76
Buxar,157,708676,,46.34
Darbhanga,255,1563196,,49.76
Gaya,,2042156,,56.03
Gopalganj,,987150,,48.58
Jamui,,559908,,49.76
Jehanabad,95,428988,,45.40
Kaimur (Bhabua),125,471927,,60.72
Katihar,,826899,,78.63
Khagaria,101,448721,,65.54
Kishanganj,110,410281,,78.53
Lakhisarai,,375543,,46.14
Madhepura,125,450400,,76.01
Madhubani,287,1246631,,54.51
Munger,140,857745,,34.44
Muzaffarpur,399,2427802,1772695,73.02
Nalanda,261,1296805,579921,44.72
Nawada,149,651496,357273,54.85
Pashchim Champaran,224,843543,657525,77.95
Patna,988,16995699,8193052,48.21
Purbi Champaran,306,1260810,,79.91
Purnia,239,942461,878866,93.25
Rohtas,241,1212552,637422,52.57
Saharsa,,540811,342337,63.30
Samastipur,302,1334079,850016,63.72
Saran,271,1524362,703980,46.18
Sheikhpura,64,246357,127589,51.79
Sheohar,,138595,102791,74.17
Sitamarhi,169,801059,495875,61.90
Siwan,253,1458908,740206,50.74
Supaul,126,502403,341053,67.88
Vaishali,258,1332419,1052177,78.97
