District,ATMs on 31.12,Opened During Quarter,Closed During Quarter,Total ATMs,Cards Issued
Araria,1526,504,2030,7140,1291680
Arwal,315,32,347,1063,574087
Aurangabad,1381,152,1290,4268,1681445
Banka,938,227,1651,7787,851030
Begusarai,2482,413,2895,1371,1570613
Bhagalpur,1263,259,1522,7778,1041193
Bhojpur,1552,117,6783,3706572,
Buxar,45,1079,5021,1383102,
Darbhanga,869,3553,5591,916484,
Gaya,1869,447,2316,12608,3706425
Gopalganj,1505,386,1891,4922,703972
Jamui,1093,159,1252,3503,1017481
Jehanabad,677,101,778,1561,747102
Kaimur (Bhabua),151,876,4027,1494708,
Katihar,455,1730,3575,588453,
Khagaria,1811,202,1320,19581,4393
Kishanganj,785,172,957,48590,6255
Lakhisarai,498,27067,1153,653541,
Madhepura,1079446,49352,1572,60775,1528
Madhubani,3242,502,3744,78592,10653
Munger,586,684,28525,1306,439666
Muzaffarpur,2607,428,3035,86152,15677
Nawada,1262,241,1503,47366,7564
Pashchim Champaran,3036,328,3364,97937,7540
Patna,2347,399,2746,98403,18666
Purbi Champaran,3425,458,3883,8581,985531
Purnia,579,2350,77441,14942,1093518
Rohtas,1051,76296,8826,2196491,
Saharsa,1296,300200,13511496,42226,2589
Samastipur,484,3048,100879,10550,2565843
Saran,1969,515,2484,94572,8446
Sheohar,339,30,369,9565,11314
Sitamarhi,1451,396,1847,56052,18206
Siwan,1396,166,1562,77374,12026
Supaul,1611,210,1371,70898,4002
