District,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9
Aurangabad,4650,,,,,,,,
Bhagalpur,10153,1.60,,,,,,,
Bhojpur,124631,12121,2.62,,,,,,
Buxar,270165,2063,,,,,,,
Darbhanga,568830,19112,0,3,3,7,6,6,
Gaya,11,769308,33472,3,4,3,7,5,5
Gopalganj,16946,4.85,,,,,,,
Jamui,176961,1934,1.09,,,,,,
Jehanabad,2311,1.36,,,,,,,
Kaimur (Bhabua),257810,2178,0.84,,,,,,
Katihar,441665,13707,3.10,,,,,,
Khagaria,218577,1659,,,,,,,
Kishanganj,225579,8750,,,,,,,
Lakhisarai,888,,,,,,,,
Madhepura,11929,4.63,,,,,,,
Munger,190116,1593,4,0,0,8,9,4,
Muzaffarpur,1064381,36758,,,,,,,
Nalanda,413526,6364,3.45,,,,,,
Purbi Champaran,23327,,,,,,,,
Saharsa,0.96,,,,,,,,
Sheohar,0.61,,,,,,,,
Sitamarhi,2.31,,,,,,,,
