District,Total Branch,CY Disbursement No.,CY Disbursement Amt,Outstanding No.,Outstanding Amt
Baksa,53,646,451.52,15379,3337.13
Barpeta,123,486,851.16,21925,7400.08
Biswanath,57,269,407.86,7627,2465.41
Bongaigaon,56,411,684.99,8458,2757.80
Cachar,160,1636,808.83,8898,3768.49
Charaideo,35,296,394.20,2745,1052.22
Chirang,33,163,246.70,2632,904.96
Darrang,69,156,203.17,11447,3755.84
Dhemaji,45,296,462.86,8196,2624.47
Dhubri,87,518,758.71,3253,1518.47
Dibrugarh,180,592,863.56,20034,6593.84
Dima Hasao,29,50,84.90,464,361.15
Goalpara,67,543,613.66,9604,3514.21
Golaghat,115,478,762.68,22129,6623.23
Hailakandi,44,152,195.20,1037,568.59
Hojai,58,179,270.48,5458,1640.89
Jorhat,135,321,482.82,36132,8376.60
Kamrup Metro,165,693,1067.36,40473,9329.08
Karbi Anglong,65,882,1266.88,4181,3088.30
Karimganj,87,552,537.33,5525,2785.11
Kokrajhar,51,1512,689.52,2880,1071.86
Lakhimpur,87,490,747.83,21245,8378.70
Majuli,13,1,5.00,1663,405.43
Morigaon,67,205,274.82,5503,2165.96
Nagaon,150,220,342.32,28386,8379.90
Nalbari,84,150,196.15,19477,5363.07
Sivasagar,96,412,559.84,12714,4355.79
Sonitpur,123,297,448.78,19150,4690.81
South Salmara,11,8,12.00,97,112.41
Tinsukia,147,458,690.46,11081,3745.45
Udalguri,47,787,409.29,6464,1861.09
West Karbi Anglong,22,224,331.70,1388,888.39
