District,Total Branch,Current Year Self-Help Group No.,Current Year Self-Help Group Amt,NRLM O/S No.,NRLM O/S Amt,NRLM Irregular A/C No.,NRLM Irregular A/C Amt,NRLM NPA No.,NRLM NPA Amt,NRLM NPA Amt. %
Baksa,53,1152,4008.76,4279,6935.60,218,487.74,132,115.03,1.66
Barpeta,123,2281,6345.72,5982,7475.53,336,525.20,532,353.64,4.73
Biswanath,57,1526,4128.86,5671,8138.62,772,830.29,228,233.34,2.87
Bongaigaon,56,956,2852.24,2745,3598.87,205,260.63,55,32.06,0.89
Cachar,160,1102,2655.00,3393,4356.23,393,474.99,143,110.75,2.54
Charaideo,35,495,1848.41,2474,3021.74,203,211.74,129,57.64,1.91
Chirang,33,845,2819.65,3156,4310.20,244,231.42,131,84.94,1.97
Darrang,69,1245,3941.18,3828,5540.09,247,313.11,200,195.21,3.52
Dhemaji,45,2160,5339.17,4867,7183.66,689,772.25,218,86.19,1.20
Dhubri,87,1302,4219.26,5241,5410.57,417,302.72,376,154.14,2.85
Dibrugarh,180,2373,5316.40,5269,7144.58,315,483.30,226,87.81,1.23
Dima Hasao,29,226,498.73,596,814.39,281,269.84,6,4.20,0.52
Goalpara,67,1489,5191.36,4216,5227.68,435,619.19,171,87.03,1.66
Golaghat,115,2352,7137.79,5692,10274.06,471,618.12,144,116.33,1.13
Hailakandi,44,577,1438.82,1913,2304.65,174,127.74,136,66.11,2.87
Hojai,58,1095,1741.88,2089,2677.15,204,151.08,152,104.38,3.90
Jorhat,135,1663,5102.09,4357,7530.34,321,473.88,77,70.63,0.94
Kamrup Metro,165,3565,10174.31,7759,11310.37,343,444.89,620,584.16,5.16
Karbi Anglong,65,1626,4583.37,3535,5984.77,1312,2187.22,19,15.10,0.25
Karimganj,87,569,1483.40,2123,2339.18,250,259.49,132,74.82,3.20
Kokrajhar,51,943,2958.48,2958,2888.29,157,144.41,90,52.15,1.81
Lakhimpur,87,2363,5330.99,6089,8142.78,663,947.76,331,184.91,2.27
Majuli,13,395,1219.27,996,1680.71,112,158.92,30,20.46,1.22
Morigaon,67,1227,3019.24,2955,3908.30,210,328.70,390,275.71,7.05
Nagaon,150,3171,7512.04,7220,11055.53,583,613.19,357,228.70,2.07
Nalbari,84,2151,5600.80,6348,9473.01,189,290.37,199,128.54,1.36
Sivasagar,96,1228,3484.38,3362,4760.70,300,299.06,128,52.86,1.11
Sonitpur,123,2677,6039.23,5953,9031.03,472,510.05,423,219.80,2.43
South Salmara,11,47,189.31,589,466.55,27,18.71,140,27.45,5.88
Tinsukia,147,2079,5048.20,4987,7275.53,400,465.01,229,128.15,1.76
Udalguri,47,768,2159.67,3300,4778.40,229,343.47,117,122.18,2.56
West Karbi Anglong,22,588,1080.22,1247,1600.52,540,618.61,7,12.66,0.79
