district,Total Branch,Crop Loan A/C,Crop Loan Amt,Forestry and wasteland Dev. A/C Nos,Forestry and wasteland Dev. Amt,Water Resource A/C Nos,Water Resource Amount,Farm mechanization A/C Nos,Farm mechanization Amount,Plantation & horticulture A/C Nos,Plantation & horticulture Amount,Animal Husbandry A/C Nos,Animal Husbandry Amount,Fishery A/C Nos,Fishery Amount,Farm Credit Others A/C Nos,Farm Credit Others Amount,Agri. Infrastructure Ac,Agri. Infrastructure Amt,Ancillary Activities Ac,Ancillary Activities Amt,Tot Agri (PS) Disb No.,Tot Agri (PS) Disb Amt
Baksa,53,1996,1896.59,4,0.94,0,0.00,436,116.84,0,0.00,371,823.30,12,12.70,1441,2635.18,1,7.70,406,652.80,4667,6146.05
Barpeta,123,5125,5517.62,292,175.86,0,0.00,6943,2134.33,18,25.33,380,321.14,72,31.29,3060,4609.77,4,267.66,546,3027.13,16440,16110.13
Biswanath,57,3959,3676.42,0,0.00,0,0.00,185,49.68,0,0.00,583,1159.52,5,1.75,1138,2589.92,4,101.51,653,1937.83,6527,9516.63
Bongaigaon,56,2329,3417.01,20,10.08,0,0.00,3029,662.31,13,15.47,153,194.46,2,0.46,1318,2753.08,1,0.23,341,1074.74,7206,8127.84
Cachar,160,4082,4941.22,152,117.14,0,0.00,1416,316.02,1,0.50,70,129.51,58,34.94,1800,2330.22,5,194.56,371,2036.17,7955,10100.28
Charaideo,35,1083,1236.68,0,0.00,0,0.00,1,0.00,0,0.00,146,449.32,0,0.00,556,1562.18,5,11.20,56,130.66,1847,3390.04
Chirang,33,1889,2110.94,0,0.00,0,0.00,0,0.00,0,0.00,117,76.16,0,0.00,901,2411.69,1,0.00,361,619.40,3269,5218.19
Darrang,69,3781,3330.60,122,76.26,0,0.00,2232,712.57,6,7.00,228,549.04,50,36.77,1628,2414.16,15,6.20,439,3367.02,8501,10499.62
Dhemaji,45,4391,4439.39,0,0.00,0,0.00,3306,1010.31,0,0.00,443,1148.27,30,36.28,1784,3062.30,0,0.00,407,410.21,10361,10106.76
Dhubri,87,4825,5759.32,92,63.80,0,0.00,1064,214.50,2,2.40,255,785.29,5,1.60,1456,2928.35,2,1.28,86,98.92,7787,9855.46
Dibrugarh,180,13700,14422.19,302,202.25,2,4.31,3765,808.47,2,6.27,700,1208.34,5,1.90,2859,4118.91,44,52.21,1185,12591.07,22564,33415.92
