district,Total Branch,Agri NPS No.,Agri NPS Amt.,Education NPS No.,Education NPS Amt.,Housing NPS No.,Housing NPS Amt.,Personal Loan No.,Personal Loan Amt.,Other NPS No.,Other NPS Amt.,Tot NPS O/S No.,Tot NPS O/S Amt.,Tot Non Prio Sec NPA No.,Tot Non Prio Sec NPA Amt.,NPS NPA Amt.%
Baksa,53,2,7.00,1,11.59,470,2015.65,2547,4912.09,9608,31373.53,12628,38319.86,947,1145.16,2.99
Barpeta,123,19,392.92,2,75.06,2348,13727.23,7872,18261.06,58703,136385.30,68944,168841.57,2206,2315.74,1.37
Biswanath,57,5,1.85,0,18.70,815,4435.05,2145,3836.25,17307,34122.59,20272,42414.44,414,414.69,0.98
Bongaigaon,56,48,127.62,2,107.76,1905,15517.03,5294,12817.83,33465,85353.78,40714,113924.02,1085,1803.49,1.58
Cachar,160,11,324.45,4,171.05,2530,19337.72,8849,18928.71,96005,180114.76,107399,218876.69,2888,2908.85,1.33
Charaideo,35,0,0.00,1,31.56,288,1707.42,1035,1958.80,6812,22822.00,8136,26519.78,321,319.99,1.21
Chirang,33,3,0.00,0,11.87,510,2468.13,1678,2923.69,10491,32804.73,12682,38208.42,666,557.54,1.46
Darrang,69,1,1.25,2,32.24,1451,9102.24,4490,9130.24,31394,65306.92,37338,83572.89,979,1047.43,1.25
Dhemaji,45,0,0.00,2,38.36,1455,4316.54,4139,10398.94,17562,57508.94,23158,72262.78,572,897.67,1.24
Dhubri,87,0,0.00,2,75.51,1578,6417.07,4749,7764.90,45544,91906.24,51873,106163.72,2067,1735.43,1.63
Dibrugarh,180,50,336.12,9,422.63,4406,38173.35,14738,37279.66,77198,201590.67,96401,277802.43,2598,2692.3,0.97
Dima Hasao,29,0,0.00,0,0.00,143,1015.26,2515,8164.86,6908,23220.92,9566,32401.04,306,357.15,1.10
Goalpara,67,0,0.00,2,52.46,880,3246.65,3364,6355.98,23941,56897.10,28187,66552.19,821,723.03,1.09
Golaghat,115,7,41.12,3,143.72,2314,12763.72,6203,13348.11,41460,109820.14,49987,136116.81,1222,1022.23,0.75
Hailakandi,44,318,131.06,0,2.79,650,1962.14,1854,3676.66,11044,16160.67,13866,21933.32,976,644.77,2.94
Hojai,58,0,0.00,0,0.00,730,3048.32,2129,4188.03,20714,46001.37,23573,53237.72,772,721.55,1.36
Jorhat,135,7,86.12,13,659.09,5721,42001.38,10034,22300.12,61450,162142.29,77225,227189.00,2811,6164.34,2.71
KARIMGANJ,87,0,0.00,1,5.01,465,3823.65,3295,8283.10,34840,54062.73,38601,66174.49,629,851.16,1.29
Kamrup,165,41,273.29,6,255.17,3140,29315.29,15956,43428.31,90968,217061.46,110111,290333.52,3746,3830.81,1.32
Kamrup Metro,419,170,4040.40,184,4487.68,23306,352889.62,36198,117474.63,332467,1133666.32,392325,1612558.65,13139,30453.29,1.89
Karbi Anglong,65,1,1.07,0,5.33,745,4795.51,5599,18548.07,18764,63712.07,25109,87062.05,687,939.93,1.08
Kokrajhar,51,0,0.00,2,109.75,931,8755.35,3654,8476.78,26980,80632.99,31567,97974.87,1168,1112.99,1.14
Lakhimpur,87,17,85.53,3,57.05,1914,12143.53,7263,15108.93,37758,89277.39,46955,116672.43,1463,1564.6,1.34
Majuli,13,0,0.00,0,0.00,81,204.90,1652,4740.99,1802,7602.09,3535,12547.98,197,211.08,1.68
Morigaon,67,60,122.83,3,65.65,478,3375.64,4847,9405.00,17112,39223.88,22500,52193.00,869,1182.98,2.27
Nagaon,150,8,41.20,5,105.21,2854,17054.68,8097,17886.07,72222,167712.71,83186,202799.87,2830,2934,1.45
Nalbari,84,17,56.54,2,127.12,2424,13796.46,6824,18291.04,34721,81930.89,43988,114202.05,1962,2202.39,1.93
Sivasagar,96,22,181.45,6,93.59,2515,16825.84,7942,20161.47,52059,138387.64,62544,175649.99,2075,1608.34,0.92
Sonitpur,123,2,22.23,10,354.82,3593,31140.12,9217,20418.88,56814,138129.99,69636,190066.04,2303,1911.45,1.01
South Salmara,11,0,0.00,0,0.00,236,214.51,277,505.93,1741,7497.19,2254,8217.63,244,347.06,4.22
Tinsukia,147,27,409.00,6,157.02,2482,23092.69,8805,22433.46,47899,145723.01,59219,191815.18,2603,15788.4,8.23
Udalguri,47,0,0.00,1,35.80,1702,1912.34,1925,2906.52,12645,46900.55,16273,51755.21,799,881.98,1.70
West Karbi Anglong,22,0,0.00,0,0.09,90,202.39,1107,3677.73,2845,10569.30,4042,14449.51,170,219.43,1.52
