District,Total Branch,Sishu No.,Sishu amt,Kishore no,Kishore Amt,Tarun No.,Tarun Amt,Total MUDRA Disb No.,Total MUDRA Disb Amt
Baksa,53,755,231.85,798,1242.02,64,389.12,1617,1862.99
Barpeta,123,4229,1255.49,4339,6202.47,430,2935.72,8998,10393.68
Biswanath,57,661,226.28,1590,2151.78,181,1217.47,2432,3595.53
Bongaigaon,56,1165,358.17,1897,2616.27,218,1497.62,3280,4472.06
Cachar,160,4979,1495.47,4410,6376.48,477,3182.18,9866,11054.13
Charaideo,35,378,129.42,677,1006.31,86,611.68,1141,1747.41
Chirang,33,1024,354.10,971,1304.58,49,348.20,2044,2006.88
Darrang,69,1402,510.05,2406,3518.05,281,1968.90,4089,5997.00
Dhemaji,45,646,192.68,924,1466.56,144,939.87,1714,2599.11
Dhubri,87,1666,532.49,2558,3645.67,146,1054.76,4370,5232.92
Dibrugarh,180,6752,1676.91,4290,6045.72,618,4159.33,11660,11881.96
Dima Hasao,29,195,39.46,251,476.18,46,315.34,492,830.98
Goalpara,67,1675,574.53,1640,2448.54,135,951.29,3450,3974.36
Golaghat,115,2832,955.65,3708,4772.62,409,2739.56,6949,8467.83
Hailakandi,44,1556,530.33,1931,2238.72,122,800.00,3609,3569.05
Hojai,58,1066,347.40,1885,2857.40,345,2442.59,3296,5647.39
Jorhat,135,4965,1418.70,3183,4660.74,410,2717.26,8558,8796.70
Kamrup Metro,165,6447,2082.39,5922,7842.35,581,3839.45,12950,13764.19
Karbi Anglong,65,879,292.13,829,1360.89,123,901.69,1831,2554.71
Karimganj,87,4887,1639.50,4315,4702.87,192,1380.95,9394,7723.32
Kokrajhar,51,3201,1075.99,1238,1740.44,125,912.28,4564,3728.71
Lakhimpur,87,1915,576.12,2693,3955.73,334,2300.43,4942,6832.28
Majuli,13,34,15.82,121,217.21,202,1292.11,357,1525.14
Morigaon,67,856,296.33,2124,2838.02,168,1117.98,3148,4252.33
Nagaon,150,1994,696.27,4847,6890.88,469,3244.78,7310,10831.93
Nalbari,84,1131,419.05,2048,2744.46,155,1131.55,3334,4295.06
Sivasagar,96,2143,697.86,3291,4869.71,415,2731.25,5849,8298.82
Sonitpur,123,2121,725.28,4243,5925.87,481,3465.27,6845,10116.42
South Salmara,11,17,6.51,59,128.20,16,130.53,92,265.24
Tinsukia,147,2367,716.89,3577,5392.66,619,4379.54,6563,10489.09
Udalguri,47,1245,392.47,907,1251.50,65,464.46,2217,2108.43
West Karbi Anglong,22,77,17.15,70,128.85,2,20.00,149,166.00
