District,Total Branch,No. of KCC issued during quarter (Including renewal),KCC Disbursed Amount during quarter,Total O/S KCC No.,Total O/S KCC Amt,Number of rupay card Issued,KCC Card activated,No. of KCC for animal husbandary issued during quarter (Including renewal),KCC for animal husbandary Amount disbursed during quarter,AH Total no. of KCC,AH Outstanding amount,AH Number of rupay card Issued,AH Card activated,No. of KCC for Fishries issued during quarter (including renewal),KCC for Fishery Amount disbursed during quarter,Fishery Total no. of KCC,Fishery Outstanding amount,Fishery Number of rupay card Issued,Fishery Card activated
Baksa,53,1605,739.16,18157,12464.91,9497,8022,41,22.14,141,233.91,16,16,9,3.10,15,13.09,13,13
Barpeta,123,5375,2264.93,59979,36259.67,26347,17891,229,71.44,628,698.07,50,50,23,21.20,305,446.96,43,42
Biswanath,57,1378,757.37,20937,12593.40,9290,7858,48,24.20,233,293.59,19,18,3,4.38,9,11.90,3,3
Bongaigaon,56,1508,646.94,14522,9521.91,7344,6584,26,12.37,229,261.38,8,8,5,0.46,143,130.23,2,2
Cachar,160,3249,1280.52,47199,28564.18,29150,26170,26,19.65,1538,3580.98,17,17,82,94.98,450,391.96,79,78
Charaideo,35,610,304.13,10552,6737.94,6889,6630,36,54.90,245,340.75,7,7,10,0.42,83,71.49,3,3
Chirang,33,955,556.40,17144,10825.51,11418,10174,11,6.89,127,171.09,2,2,1,0.00,10,54.81,1,1
Darrang,69,3811,1766.39,35129,20447.50,18344,14474,72,43.03,418,491.82,13,13,13,7.42,537,424.97,25,24
Dhemaji,45,2559,1108.12,27196,15831.93,13126,9473,44,60.87,443,517.75,28,28,41,5.34,80,66.29,18,18
Dhubri,87,1697,589.54,28632,16164.12,15324,12209,36,11.68,543,762.89,20,20,3,1.34,42,303.67,0,0
Dibrugarh,180,3465,1898.85,71650,44075.35,37392,26207,26,23.07,817,1039.46,63,63,2,0.91,124,104.58,3,3
Dima Hasao,29,254,44.59,1714,611.35,835,746,18,25.61,108,76.53,50,43,3,1.58,7,4.84,3,3
Goalpara,67,2186,1073.93,25500,13141.79,16081,14333,10,5.66,405,452.68,4,4,2,0.50,439,334.15,7,6
Golaghat,115,4231,1976.65,58426,30551.86,27722,17011,69,74.29,601,814.67,13,13,7,0.93,43,48.16,4,4
Hailakandi,44,1349,392.52,18059,9780.95,10920,10163,31,25.39,464,572.81,22,22,3,0.46,21,41.85,5,5
Hojai,58,1464,552.00,20651,11562.70,12769,10437,20,11.09,482,815.91,1,0,0,0.00,35,143.29,0,0
Jorhat,135,2497,1042.15,44482,22061.65,24856,14644,17,31.27,656,831.15,109,108,12,3.06,169,120.56,6,4
Kamrup Metro,165,6446,2401.87,76390,39815.50,39306,28922,90,63.23,684,1002.20,30,30,22,0.00,224,167.13,16,16
Karbi Anglong,65,7027,3994.18,31902,16511.40,6276,4832,71,44.86,174,167.91,2,2,8,0.04,51,34.65,2,2
Karimganj,87,1643,535.43,27270,16798.75,16413,15320,30,44.46,1169,1538.98,8,8,58,42.32,95,164.62,26,26
Kokrajhar,51,1547,805.45,22114,15847.06,10162,9558,18,11.36,173,197.85,1,1,8,8.33,78,57.59,6,6
Lakhimpur,87,4367,1410.09,64012,37747.82,24825,19837,100,67.03,1073,1456.63,69,64,7,1.29,194,230.35,3,3
Majuli,13,623,159.33,4549,2355.45,2546,2535,1,0.20,48,94.32,0,0,0,0.00,80,66.10,10,10
Morigaon,67,3487,1040.22,39090,25281.77,23597,20991,22,15.08,1218,1454.69,36,35,33,23.39,287,320.33,78,78
Nagaon,150,5662,1805.90,96157,49590.52,44545,36492,126,85.84,1646,2240.04,115,114,43,16.63,460,1022.53,92,91
Nalbari,84,4270,1514.83,44217,18852.82,15123,12497,102,65.84,682,695.37,98,92,4,4.80,138,118.48,30,28
Sivasagar,96,2459,893.09,29564,14524.56,13754,10168,63,42.24,524,579.37,9,9,46,30.78,230,399.07,104,103
Sonitpur,123,3301,1594.46,36206,22678.84,19535,15950,99,104.03,644,834.12,63,63,24,20.54,153,342.78,5,5
South Salmara,11,168,17.94,2014,707.98,897,885,2,3.20,3,4.29,0,0,7,0.00,15,13.13,6,6
Tinsukia,147,5151,2462.16,57806,37875.75,30369,25278,104,81.61,1084,1520.02,71,71,5,0.53,132,172.86,2,2
Udalguri,47,1140,508.69,31641,20275.69,16895,15011,22,102.00,135,246.88,6,6,1,0.00,131,104.77,1,1
West Karbi Anglong,22,1703,525.11,10562,4496.02,794,438,11,3.30,11,5.85,0,0,1,0.35,8,0.72,0,0
