district,Total Branch,O/S No.,O/S Amt.,CY Disb No.,CY Disb Amt.
Baksa,53,34032,20723.92,3141,5063.50
Barpeta,123,141594,80363.33,17738,18686.87
Biswanath,57,49521,27704.80,4364,5663.62
Bongaigaon,56,52159,41358.45,7735,9762.92
Cachar,160,172212,108545.20,14346,20461.70
Charaideo,35,16647,13918.19,1793,4096.18
Chirang,33,26088,17800.34,2727,4415.90
Darrang,69,85188,49291.91,7910,11170.00
Dhemaji,45,45584,37285.30,9127,10597.30
Dhubri,87,85985,49197.78,6382,8212.74
Dibrugarh,180,148741,118454.52,24775,31252.07
Dima Hasao,29,5511,12071.96,904,3195.79
Goalpara,67,63178,39542.22,7153,8549.06
Golaghat,115,113959,64492.19,15406,15595.44
Hailakandi,44,28957,21692.46,3608,5525.57
Hojai,58,48037,26803.87,5094,5747.06
Jorhat,135,126780,94325.33,17247,24680.02
Kamrup Metro,165,210882,143389.76,30199,34074.85
Karbi Anglong,65,43550,42334.51,8547,12769.68
Karimganj,87,82502,42259.25,9759,8515.89
Kokrajhar,51,38894,34967.33,6565,8518.70
Lakhimpur,87,118461,73045.45,16796,16894.57
Majuli,13,4616,3570.33,1075,2872.90
Morigaon,67,62170,37063.80,7023,9385.59
Nagaon,150,205165,120365.11,22588,27785.44
Nalbari,84,102463,55833.53,13270,13480.63
Sivasagar,96,94915,78554.34,13873,22894.42
Sonitpur,123,113231,84152.85,12873,20222.49
South Salmara,11,1199,1681.40,114,365.42
Tinsukia,147,96406,82443.67,18466,20673.43
Udalguri,47,31634,25521.90,3644,5736.42
West Karbi Anglong,22,7522,7458.29,1010,1574.77
