district,Total Branch,Enrolment under PMJJBY,Eligible cases under PMJJBY,Renewals under PMJJBY,Enrolment under PMSBY,Eligible cases under PMSBY,Renewals under PMSBY,Enrolment under APY,Total Enrolment No.
Baksa,53,78114,435886,27836,260190,672982,79457,22420,360724
Barpeta,124,190006,1097412,63237,795838,1749759,274255,55982,1041826
Biswanath,58,89791,282215,30010,227143,481477,79847,28089,345023
Bongaigaon,57,69437,318213,19368,293069,503784,89202,20317,382823
Cachar,161,164716,590721,56824,529468,1072303,200180,40499,734683
Charaideo,35,52742,146339,16660,145737,269377,53879,11679,210158
Chirang,33,68941,309343,21893,218995,500865,68104,13623,301559
Darrang,70,127336,525957,39291,415622,923037,144048,26127,569085
Dhemaji,46,127284,293816,33875,427756,542208,127568,37093,592133
Dhubri,88,152967,719801,41319,733223,1339451,246043,42482,928672
Dibrugarh,181,220509,670359,68182,566316,1108347,195972,50120,836945
Dima Hasao,30,18723,82519,8220,50857,133673,24191,6820,76400
Goalpara,68,101779,495387,28576,489242,856063,150288,28304,619325
Golaghat,116,157470,362924,46603,394339,667721,135917,38908,590717
Hailakandi,45,52345,250469,20534,187185,428452,72376,16010,255540
Hojai,59,114921,326836,27247,341060,606166,96434,19206,475187
Jorhat,136,135482,397596,40957,416161,713075,156789,35616,587259
Kamrup Metro,165,154588,866065,53756,506995,1324621,174214,50383,711966
Karbi Anglong,66,64473,218713,28159,170890,434672,85094,30055,265418
Karimganj,88,79347,318186,25054,245147,647682,87216,24213,348707
Kokrajhar,52,92826,454653,29013,306097,765969,86289,14007,412930
Lakhimpur,88,174179,363037,46655,566919,690999,176155,40086,781184
Majuli,13,16330,69898,4632,50860,103020,20327,7042,74232
Morigaon,68,67678,339739,24506,199779,633158,85469,22297,289754
Nagaon,151,242609,745497,76082,802838,1406455,243591,54813,1100260
Nalbari,85,91668,463230,34676,263496,799753,107176,21131,376295
Sivasagar,97,146647,309883,47585,345121,555178,128581,21058,512826
Sonitpur,124,225591,695056,72248,549981,1111946,189509,41078,816650
South Salmara,11,11726,149384,2052,96929,255405,30858,4718,113373
Tinsukia,148,169942,609129,49342,475353,953861,153318,40737,686032
Udalguri,48,127063,585641,40878,338585,911758,109956,18048,483696
West Karbi Anglong,22,26466,75477,11178,71962,157974,30089,11173,109601
