district,Total Branch,Small and Marginal Farmers No,Small and Marginal Farmers Amt,Scheduled Castes No,Scheduled Castes Amt,Scheduled Tribes No,Scheduled Tribes Amt,DRI scheme No,DRI scheme Amt,Self Help Groups No,Self Help Groups Amt,women beneficiaries No,women beneficiaries Amt,Minority communities No,Minority communities Amt,PMJDY No,PMJDY Amt,Others No,Others Amt,Tot Weaker Sec O/S No.,Tot Weaker Sec O/S Amt.
Baksa,53,23545,15743.37,3109,2623.85,10922,10876.60,22,7.61,5395,7801.39,13494,4323.30,2827,3614.82,138,9.21,14408,5305.70,73860,50305.85
Barpeta,123,69331,44581.63,13602,7538.33,5192,4092.59,201,26.73,13979,10034.79,72284,21888.07,41284,46403.63,880,138.46,22736,12624.79,239489,147329.02
Biswanath,57,28412,17284.31,6960,4542.87,8749,5240.75,63,16.58,7621,8956.24,25960,8480.82,4937,4300.18,109,11.81,13755,7312.98,96566,56146.54
Bongaigaon,56,19118,14902.21,6601,4567.49,2800,4281.52,98,17.72,4413,3907.20,25249,9567.35,8379,15093.80,895,41.76,12561,9879.30,80114,62258.35
Cachar,160,68976,45129.71,44398,25606.39,7870,6755.96,595,112.47,6544,5437.39,107976,39613.90,38640,37744.79,1925,128.55,38747,41905.18,315671,202434.34
Charaideo,35,15707,10024.86,1489,1151.24,1113,859.76,56,11.65,2643,2957.62,11038,3514.01,1635,1435.61,130,20.93,5035,4692.26,38846,24667.94
Chirang,33,19159,12745.25,3019,1977.96,11343,10012.93,61,36.76,3276,4571.20,12924,4886.93,6410,4724.77,14,4.19,6154,3002.71,62360,41962.70
Darrang,69,45032,28665.44,3576,2289.85,2228,1789.81,94,14.73,7857,7422.84,45514,13564.97,21493,23606.62,793,48.09,13367,7764.73,139954,85167.08
Dhemaji,45,28314,19939.11,4118,3371.69,14289,15353.72,123,19.16,9598,8032.12,14101,5003.18,801,566.94,147,23.22,18168,11185.27,89659,63494.41
Dhubri,87,38592,23035.12,8733,4970.52,2461,1670.66,169,54.92,5781,5617.45,52198,17150.64,26225,26115.06,698,44.26,14615,10054.31,149472,88712.94
Dibrugarh,180,83180,51344.00,13532,11208.60,14030,14351.74,436,143.76,12822,8540.00,72712,24141.81,7000,12628.34,599,65.15,35171,38520.08,239482,160943.48
Dima Hasao,29,1513,979.46,1055,1290.88,2595,4535.27,80,5.44,984,1190.20,2223,1148.96,1235,1959.19,59,4.54,3289,3744.50,13033,14858.44
Goalpara,67,35285,19592.08,4656,3132.04,13189,7818.87,194,47.00,7241,7101.12,32183,11475.70,18848,18413.25,291,25.09,16137,7966.20,128024,75571.35
Golaghat,115,67828,40362.19,13364,8379.25,13056,9187.11,236,41.72,10433,10817.04,62808,19643.57,4907,5801.00,1015,78.75,25398,16966.63,199045,111277.26
Hailakandi,44,21848,12585.74,7746,4956.71,1680,1344.79,120,19.51,2332,2276.89,19751,7360.50,19397,16409.88,126,20.37,6842,5630.07,79842,50604.46
Hojai,58,25418,15887.39,11330,7105.67,4536,3260.08,232,29.05,3449,2700.48,28290,11231.72,17201,13477.39,190,42.40,20301,12283.15,110947,66017.33
Jorhat,135,55124,28914.51,12631,8242.81,13446,9351.70,285,92.67,8044,8491.88,60662,17837.76,5784,8348.58,873,83.50,24930,14967.88,181779,96331.29
Kamrup Metro,165,90130,52350.92,19490,11979.96,15732,10581.31,390,89.50,20472,14630.33,102819,32652.60,23707,25057.28,695,95.29,34215,20737.20,307650,168174.39
Karbi Anglong,65,15881,9445.81,959,1263.97,12613,14720.26,29,3.69,5761,6843.39,14332,4748.21,2221,2569.87,150,5.39,15244,5159.95,67190,44760.54
Karimganj,87,36530,26654.65,23322,13118.22,3322,2253.06,233,54.27,3722,2920.17,50829,17066.27,19374,14910.77,410,60.75,14164,10176.57,151906,87214.73
Kokrajhar,51,19510,14066.60,3652,2391.91,15057,17869.43,94,26.44,3084,3081.40,23776,7847.36,9244,6632.02,115,10.17,7002,5493.68,81534,57419.01
Lakhimpur,87,71115,47691.22,13323,10936.62,18664,20001.57,372,46.08,12982,9753.62,50823,19040.54,11537,11848.02,135,37.18,39865,24200.29,218816,143555.14
Majuli,13,5766,3320.57,616,572.26,2532,2169.95,12,9.01,1127,1703.36,959,482.41,609,347.43,74,4.78,2789,1741.78,14484,10351.55
Morigaon,67,51988,36792.04,11731,7086.95,14322,8761.31,294,50.31,6825,5932.50,37668,13822.66,22037,15340.83,1852,153.07,16188,9928.70,162905,97868.37
Nagaon,150,108400,62813.96,24572,15895.73,15231,9767.21,512,81.81,18147,13156.17,113354,39230.59,55110,46987.22,1850,148.18,43869,38057.21,381045,226138.08
Nalbari,84,44917,24588.30,6864,4173.31,4167,3639.30,121,35.52,14859,12390.62,51339,14044.01,13144,12535.67,457,76.46,14339,8400.40,150207,79883.59
Sivasagar,96,43375,22423.78,7188,5484.55,4922,4407.74,186,23.13,6642,4749.51,45856,13934.90,6774,10796.38,983,15610.53,20243,13703.56,136169,91134.08
Sonitpur,123,51271,30107.49,12848,8346.11,12782,9090.65,200,22.34,11337,10305.68,62698,21456.72,11188,14329.41,912,57.59,35397,24148.91,198633,117864.90
South Salmara,11,2389,1151.57,26,71.82,29,40.47,2,0.16,570,582.16,263,115.39,2282,5148.29,16,0.17,198,262.81,5775,7372.84
Tinsukia,147,58169,44119.37,7349,7884.12,10758,11074.53,194,45.52,12241,8364.39,46109,15430.09,6013,11566.84,1310,163.60,15029,13589.20,157172,112237.66
Udalguri,47,39203,24471.94,2509,1771.73,25256,24318.16,36,27.13,3878,4941.72,13997,5534.06,8121,9965.64,68,2.85,12530,5587.19,105598,76620.42
West Karbi Anglong,22,3205,2106.71,126,170.31,2108,3417.41,0,0.00,2480,2037.45,4138,1457.94,221,430.45,14,0.30,1553,342.05,13845,9962.62
