District,Total Branch,BHIM/UPI A/C,BHIM/UPI Amt,BHIM Aadhaar A/C,BHIM Aadhaar Amt,Bharat QR Code A/C,Bharat QR Code Amt,IMPS A/C,IMPS Amt,Cards (Debit & Credit) A/C,Cards (Debit & Credit) Amt,USSD A/C,USSD Amt
Baksa,53,67101167,3188609.28,4074697,63094.49,2989,763.08,4698518,1639664.56,192207,19891.23,207858,3316.50
Barpeta,123,396035302,19122046.31,12598226,258390.71,4168,1444.69,18028633,6160419.61,511592,665497.46,600106,10849.31
Biswanath,57,140061535,4315775.15,3547427,57893.55,1545,768.47,5819338,1601212.99,368663,86594.76,207519,3807.59
Bongaigaon,56,125541061,5149393.77,4268189,86633.15,3466,1226.26,9618725,2862028.84,317302,80422.17,374025,6890.16
Cachar,160,262137943,10331287.79,9761795,171540.03,7361,2989.61,25988809,6704081.37,777854,307739.28,772787,14385.11
Charaideo,35,8905872,336177.49,2194049,34919.24,548,155.79,887041,425101.11,119949,19519.58,177482,3014.43
Chirang,33,6793776,309612.88,2771202,49502.44,1011,433.19,473588,236776.21,106017,10938.03,278613,4827.16
Darrang,69,182453202,8559072.21,5374711,96403.58,2502,792.38,13038824,5511100.46,341249,64354.95,272852,4759.12
Dhemaji,45,46936564,1820242.00,5403333,82682.19,1668,694.74,3968548,1245464.06,222935,74061.63,269145,4442.77
Dhubri,87,133717854,6684114.90,7481776,160606.92,2469,668.46,8196165,2927182.04,392140,108221.09,336573,6815.05
Dibrugarh,180,386507139,13247768.27,10374324,171522.16,8933,3679.28,44889673,11234413.87,1469720,251607.53,1294361,21907.11
Dima Hasao,29,449791,19391.84,1806255,35290.62,732,308.49,29495,204749.71,74431,18124.41,139281,2574.92
Goalpara,67,175561027,9609287.18,4487867,105972.98,2842,1766.86,9712241,3940166.83,255175,107422.70,253721,4870.92
Golaghat,115,256901876,9575163.75,6574067,100351.08,2510,1738.54,27763732,6578451.22,776550,800762.28,564110,10403.51
Hailakandi,44,39041942,1532231.68,3668522,53744.88,1062,410.04,2175325,645033.08,136398,58852.50,126686,2247.27
Hojai,58,180487252,9248019.94,5843790,117048.53,5258,2661.16,16384788,5285421.25,290292,119771.10,243267,4553.14
Jorhat,135,327652091,10952582.27,7515725,114555.95,6833,2408.48,40332436,9847577.88,889967,1429249.23,1070250,17646.26
Kamrup Metro,165,358428688,15028398.36,8872004,162314.09,4464,2425.48,23667517,7352429.54,879161,4627211.38,739657,12712.87
Karbi Anglong,65,74566937,3232412.06,4525900,79706.66,1264,668.05,6695185,1637503.64,254843,61581.89,316180,5663.41
Karimganj,87,131745627,6783632.91,5829551,113564.86,2866,981.72,14781471,5394417.93,281794,63438.70,261369,5054.66
Kokrajhar,51,74074946,3240370.17,4303706,75804.89,1538,452.41,5443933,1812301.64,181141,70474.04,402319,6954.28
Lakhimpur,87,137838203,4883568.63,7320870,119970.94,2200,977.96,9727830,2771507.06,414799,159080.66,405588,6841.57
Majuli,13,663847,20010.30,919622,11231.35,655,149.02,55527,187906.92,48643,11996.77,47720,625.86
Morigaon,67,186946197,8655855.63,2778356,56804.04,2722,1280.08,8401733,3588694.55,280381,96841.51,172747,3145.07
Nagaon,150,253897371,10943944.68,9970404,199601.38,4007,2090.67,16696335,5364593.67,616480,990189.18,708366,12714.39
Nalbari,84,104368298,4063583.58,4447883,79937.69,2031,914.39,7976755,2244524.18,312858,828511.49,418340,6768.25
Sivasagar,96,201190771,6781300.41,6210936,102014.13,4063,1658.37,17326768,4128584.75,636913,84397.59,821192,14071.04
Sonitpur,123,256646708,8858254.43,9798391,158958.90,5023,2057.49,18197311,4851469.97,792413,1057536.71,990755,15603.50
South Salmara,11,8999,9203.59,962792,26619.60,514,28.93,15468,215264.30,11793,712.60,25224,609.68
Tinsukia,147,331628474,12874546.21,7210626,117647.36,6733,2951.35,52742165,13845845.63,873000,251824.43,651788,10837.38
Udalguri,47,22920419,1001626.10,5080074,72050.43,1059,242.95,2175986,779773.09,118009,72720.96,223917,3645.65
West Karbi Anglong,22,242697,4255.18,1615069,24471.78,0,0.00,16406,941.53,38441,1655.67,69900,1149.57
