district,Total Branch,Sanctioned No,of which girl student Sanctioned No,Sanctioned Amt,of which girl student Sanctioned Amt,Disb. Number,of which girl student Disb No,Disb. Amt,of which girl student Disb Amt,OS No,of which girl student OS No,OS amt,of which girl student OS Amt
Baksa,53,9,5,24.87,10.05,17,10,23.99,9.35,72,29,195.24,102.18
Barpeta,123,39,24,75.30,40.84,74,35,82.06,38.48,426,159,1397.57,448.96
Biswanath,57,12,10,24.17,11.23,36,18,37.06,21.33,144,60,414.97,195.63
Bongaigaon,56,15,7,75.42,43.93,27,11,43.89,31.03,144,40,647.16,225.67
Cachar,160,45,13,163.80,56.36,178,38,206.22,52.88,986,204,2952.77,592.62
Charaideo,35,3,1,9.89,7.50,6,4,15.48,7.38,74,24,228.51,92.30
Chirang,33,3,1,23.06,2.14,6,3,33.90,12.74,60,11,238.67,41.89
Darrang,69,25,15,94.86,25.81,75,28,115.18,35.75,336,135,1018.50,440.58
Dhemaji,45,8,5,48.15,17.93,41,24,56.92,40.51,151,65,434.07,202.15
Dhubri,87,12,6,31.24,14.52,35,9,63.12,10.09,183,40,636.61,150.29
Dibrugarh,180,83,52,343.35,179.34,190,93,328.48,197.59,900,360,3255.75,1323.90
Dima Hasao,29,6,3,12.42,4.28,11,3,18.95,4.21,29,9,78.49,25.55
Goalpara,67,12,10,73.74,62.48,25,12,50.20,33.77,133,42,535.68,153.59
Golaghat,115,31,18,74.52,24.00,86,39,107.71,41.78,349,134,1159.07,472.57
Hailakandi,44,10,4,28.48,17.48,17,9,31.67,20.63,92,26,240.04,90.28
Hojai,58,10,7,24.70,16.00,28,16,33.55,25.00,144,44,437.74,126.77
Jorhat,135,94,50,356.57,197.56,200,100,330.89,166.89,817,356,3139.23,1416.69
Kamrup Metro,165,114,48,344.43,184.36,309,110,375.92,157.93,1145,329,3774.60,1113.29
Karbi Anglong,65,13,5,25.25,6.36,25,12,30.18,12.52,121,47,302.35,113.03
Karimganj,87,5,0,33.86,0.00,9,1,11.41,0.75,100,26,290.67,70.13
Kokrajhar,51,17,8,27.98,12.17,28,10,37.37,9.32,101,29,306.87,74.99
Lakhimpur,87,32,14,104.09,48.09,77,38,120.46,68.14,335,131,1015.87,379.75
Majuli,13,2,1,7.90,0.40,4,2,6.57,1.61,44,8,96.25,18.39
Morigaon,67,11,3,24.55,7.47,24,7,39.50,8.67,135,45,411.63,134.19
Nagaon,150,31,13,63.71,13.77,71,23,79.34,26.18,338,101,1217.01,370.31
Nalbari,84,25,11,83.27,6.95,68,25,58.80,19.98,328,101,1150.53,411.43
Sivasagar,96,32,17,157.34,98.17,74,32,110.48,39.76,309,125,1011.73,372.71
Sonitpur,123,46,24,220.23,151.97,119,56,244.60,112.54,484,179,1778.07,650.70
South Salmara,11,0,0,0.00,0.00,0,0,0.00,0.00,14,2,47.74,5.40
Tinsukia,147,54,26,297.71,88.24,123,52,213.07,69.20,587,206,2081.25,626.37
Udalguri,47,24,20,31.89,24.78,55,40,58.36,41.86,257,162,696.66,412.93
West Karbi Anglong,22,0,0,0.00,0.00,1,0,1.04,0.00,16,4,56.17,16.62
