district,Total Branch,KCCs for AH and Allied Activities No,KCCs for AH and Allied Activities Amt,Farm Producti on A/C,Farm Production amt,Dairy no,Dairy Amt,Farm Mechanis ation No,Farm Mechanisatio n Amt,Poultr y No,Poultry Amt,fisheri es no,fisheries Amt,Godow n No,Godown Amt,Clinic No,Clinic Amt,Other No,Other Amt,Total IC- Agri O/S No.,Total IC-Agri O/S Amt
Baksa,53,421,461.77,98,145.24,241,341.01,421,197.64,80,95.73,25,64.17,0,0.00,0,0.00,1342,1431.87,2628,2737.43
Barpeta,123,1122,1208.13,587,722.62,1215,1344.45,6618,2759.37,466,578.98,278,358.78,2,12.91,4,6.31,6183,4981.16,16475,11972.71
Biswanath,57,480,650.22,144,481.33,61,89.03,229,149.49,150,139.12,20,26.50,0,0.00,12,21.50,1595,1778.70,2691,3335.89
Bongaigaon,56,381,361.00,295,384.78,1000,625.28,2363,731.19,169,186.64,85,47.17,2,136.32,5,4.98,2431,1734.20,6731,4211.56
Cachar,160,2010,3721.87,2297,2801.01,812,1104.68,856,496.04,428,822.66,245,360.77,14,104.24,19,33.32,2800,2856.80,9481,12301.39
Charaideo,35,347,407.12,201,273.73,25,46.29,28,37.88,60,57.43,22,36.80,1,0.66,8,16.00,588,528.12,1280,1404.03
Chirang,33,515,307.61,100,142.96,247,251.80,22,36.80,56,62.20,108,42.64,1,1.12,3,7.05,639,469.68,1691,1321.86
Darrang,69,566,680.31,323,499.05,727,1204.63,2731,800.45,153,174.80,177,247.04,1,31.37,8,13.55,4565,2897.70,9251,6548.90
Dhemaji,45,526,579.94,406,582.31,123,156.94,4029,922.94,203,209.28,24,47.42,0,0.00,7,10.82,1780,1693.06,7098,4202.71
Dhubri,87,561,853.56,479,727.72,389,309.21,863,387.55,189,199.81,36,36.98,0,0.00,11,32.29,1253,1436.07,3781,3983.19
Dibrugarh,180,1241,1457.21,1207,1470.15,920,1035.45,4171,1051.69,506,590.07,216,216.55,4,4.80,19,26.70,7626,10694.73,15910,16547.35
Dima Hasao,29,92,69.62,40,61.01,20,18.35,13,15.36,9,11.65,4,3.19,0,0.00,3,7.00,237,150.62,418,336.80
Goalpara,67,536,549.51,317,447.17,291,323.23,1352,322.68,257,184.98,571,183.60,6,0.95,5,6.72,1587,2042.60,4922,4061.44
Golaghat,115,1240,1244.68,644,1052.55,446,449.86,4642,1390.74,169,204.10,34,26.61,3,546.53,2,3.00,8042,6081.03,15222,10999.10
Hailakandi,44,488,610.42,393,588.90,379,593.80,66,128.60,225,313.81,24,38.25,0,0.00,8,11.77,857,910.32,2440,3195.87
Hojai,58,504,877.14,554,989.57,171,275.20,1074,357.85,117,138.13,42,66.54,2,0.75,3,3.11,643,697.05,3110,3405.34
Jorhat,135,1048,1113.63,660,910.11,752,684.55,1941,764.81,209,239.65,89,110.64,1,0.91,17,110.42,4721,9586.72,9438,13521.44
KARIMGANJ,87,1214,1679.56,1341,1874.60,357,487.87,298,306.03,191,228.19,89,91.16,9,66.16,10,10.89,1567,1049.10,5076,5793.56
Kamrup,165,1011,1469.90,898,1315.83,4736,2152.34,8988,2255.78,785,1263.86,562,206.62,2,29.56,19,32.89,6073,5941.41,23074,14668.19
Kamrup Metro,419,456,1002.95,139,349.45,3373,1887.23,939,445.30,861,954.89,568,249.18,20,1475.22,18,47.06,8790,28126.86,15164,34538.14
Karbi Anglong,65,124,132.50,55,83.19,528,259.79,905,240.21,44,56.81,28,23.50,0,0.00,5,9.00,911,1299.48,2600,2104.48
Kokrajhar,51,210,213.58,56,73.78,382,345.53,198,68.77,163,183.38,36,358.71,0,0.00,1,10.13,551,687.25,1597,1941.13
Lakhimpur,87,1049,1458.36,981,1540.48,348,475.89,5216,1309.69,363,602.41,184,287.28,1,0.26,8,14.10,3831,2359.89,11981,8048.36
Majuli,13,64,114.05,59,116.68,6,9.22,21,38.13,14,13.40,17,19.50,0,0.00,1,2.00,91,63.64,273,376.62
Morigaon,67,1620,1812.72,1490,1670.72,853,983.31,1431,711.03,252,343.07,229,312.00,1,14.53,8,11.17,2798,2545.76,8682,8404.31
Nagaon,150,1970,2721.04,1702,2760.55,1067,1203.31,9665,2937.94,446,553.16,405,563.17,7,307.96,31,55.83,10554,4613.63,25847,15716.59
Nalbari,84,635,715.47,271,436.10,877,846.32,7625,1670.79,447,340.36,162,142.38,2,11.69,10,15.69,3543,3976.15,13572,8154.95
Sivasagar,96,1063,1004.31,520,680.79,909,707.36,3597,1136.58,824,854.55,74,62.92,1,1.68,11,8.73,4051,3204.61,11050,7661.53
Sonitpur,123,1022,1157.05,642,811.73,315,438.96,4020,1148.19,433,504.72,107,202.37,1,0.22,5,17.49,2456,2767.65,9001,7048.38
South Salmara,11,0,0,0,0,4,14.88,1,0.9,3,10.52,1,2.18,0,0,0,0,59,189.34,68,217.82
Tinsukia,147,1316,1838.18,1130,1614.14,919,1254.54,7232,1596.62,370,701.24,102,89.02,0,0.00,8,266.63,2672,10597.15,13749,17957.52
Udalguri,47,136,173.66,20,34.14,166,299.94,41,50.86,166,174.95,83,67.77,0,0.00,5,10.24,1099,1346.59,1716,2158.15
West Karbi Anglong,22,4,6.24,0,0.00,123,49.09,3,4.02,1,3.79,7,1.44,0,0.00,0,0.00,70,74.10,208,138.68
