District,Total Branch,During the Quarter Savings Linked No.,During the Quarter Savings Linked Amt,During the Quarter Credit Linked No.,During the Quarter Credit Linked Amt,Current FY Savings Linked No.,Current FY Savings Linked Amt,Current FY Credit Linked No.,Current FY Credit Linked Amt,SHG O/S No.,SHG O/S Amt,SHG NPA No.,SHG NPA Amt,SHG NPA Amt. %
Baksa,53,1049,121.93,596,2110.36,1128,124.52,1056,3451.49,5103,7278.08,1125,559.39,7.69
Barpeta,123,1310,194.79,1098,3009.74,1694,211.68,1876,4977.08,8748,10328.40,1608,1128.12,10.92
Biswanath,57,935,93.21,777,2102.75,1379,226.42,1966,4179.89,7241,8368.30,1819,1003.72,11.99
Bongaigaon,56,1068,142.85,605,1873.96,1247,160.19,916,2961.54,3818,5117.72,249,116.43,2.28
Cachar,160,937,195.61,817,1717.88,1380,282.61,1217,2415.44,5664,5796.93,1181,725.20,12.51
Charaideo,35,318,60.32,324,1012.54,370,64.32,541,1877.06,3104,3470.54,316,177.45,5.11
Chirang,33,1000,73.63,350,1362.47,1055,78.81,720,2184.07,3253,4217.12,650,497.53,11.80
Darrang,69,1090,130.33,652,2127.07,1363,149.90,1038,3121.71,5682,6807.25,1275,996.23,14.63
Dhemaji,45,1614,166.49,1252,3256.71,2237,282.34,2255,5228.75,6721,8761.02,1013,428.78,4.89
Dhubri,87,3836,589.22,748,2154.98,4700,722.17,2057,4651.32,7605,7278.69,1566,745.36,10.24
Dibrugarh,180,2247,297.66,1225,3222.56,3568,464.99,3052,6160.28,8401,10331.24,518,244.87,2.37
Dima Hasao,29,208,7.64,187,404.38,254,8.08,231,511.08,866,998.27,85,29.04,2.91
Goalpara,67,976,107.87,828,3077.18,1300,156.32,1429,4684.79,6317,6973.51,1072,570.52,8.18
Golaghat,115,1749,288.64,1236,3661.65,3164,482.79,2724,6975.43,8237,13187.27,627,345.41,2.62
Hailakandi,44,900,243.97,259,546.85,1192,305.47,488,864.64,2648,2528.73,619,326.51,12.91
Hojai,58,977,81.31,890,1050.64,1184,110.05,1280,1600.40,3013,3377.43,508,352.18,10.43
Jorhat,135,1134,251.27,884,2541.47,1582,298.75,1857,5462.15,6620,10096.81,548,402.12,3.98
Kamrup Metro,165,1436,247.45,1806,4812.62,2754,462.95,3659,8688.09,10455,13256.60,1940,1293.74,9.76
Karbi Anglong,65,273,20.33,1325,3581.36,369,23.44,1628,4571.65,5184,6856.52,575,154.05,2.25
Karimganj,87,726,92.02,317,633.18,915,111.68,600,1036.18,3749,3042.18,1313,608.31,20.00
Kokrajhar,51,1833,182.85,413,1351.15,2125,208.77,820,2475.28,3811,3767.35,581,568.26,15.08
Lakhimpur,87,1936,278.11,1223,2801.78,2767,373.40,2212,4628.26,8599,10480.10,1077,580.64,5.54
Majuli,13,100,3.74,486,1285.45,220,6.88,592,1595.78,1237,1787.40,232,106.78,5.97
Morigaon,67,735,47.59,954,2012.91,1018,85.07,1638,3388.11,5680,5885.97,1983,1081.86,18.38
Nagaon,150,3831,269.09,1572,3941.07,4831,334.85,2746,6387.32,10897,14525.02,1232,750.34,5.17
Nalbari,84,867,119.32,1056,2884.57,1243,160.25,1823,4838.74,8079,12074.29,1056,554.11,4.59
Sivasagar,96,842,145.07,576,1636.30,1340,185.34,979,2708.23,4980,6327.61,394,299.65,4.74
Sonitpur,123,2420,341.54,1085,3036.44,2741,393.46,1700,4525.74,8119,9539.04,1960,980.39,10.28
South Salmara,11,485,30.38,18,81.62,528,31.33,58,193.52,651,520.82,175,53.53,10.28
Tinsukia,147,1413,194.40,929,2625.30,1992,243.94,1734,4503.40,7082,9080.94,654,365.26,4.02
Udalguri,47,1530,127.30,394,1250.30,1557,129.75,685,1995.96,4329,5297.16,1009,679.66,12.83
West Karbi Anglong,22,348,16.14,433,727.00,368,16.94,545,1037.50,2486,2046.21,849,232.32,11.35
