District,Total Branch,Total Deposit,Total Advances,Overall CD Ratio
Baksa,53,"1,34,617","91,565",68
Barpeta,123,"5,46,193","3,48,850",64
Biswanath,57,"1,99,999","1,16,302",58
Bongaigaon,56,"3,55,139","2,14,442",60
Cachar,160,"10,15,949","4,53,520",45
Charaideo,35,"1,32,319","55,196",42
Chirang,33,"1,66,359","78,440",47
Darrang,69,"2,78,593","1,78,096",64
Dhemaji,45,"1,76,125","1,40,543",80
Dhubri,87,"3,60,944","1,97,797",55
Dibrugarh,180,"13,36,785","5,85,331",44
Dima Hasao,29,"1,23,669","42,699",35
Goalpara,67,"2,63,476","1,39,101",53
Golaghat,115,"4,49,922","2,82,667",63
Hailakandi,44,"1,97,471","86,712",44
Hojai,58,"3,11,021","1,32,983",43
Jorhat,135,"8,22,649","4,63,492",56
Kamrup Metro,165,"7,33,250","5,17,424",71
Karbi Anglong,65,"2,17,074","1,48,155",68
Karimganj,87,"4,51,630","1,50,587",33
Kokrajhar,51,"3,58,734","1,55,685",43
Lakhimpur,87,"3,33,498","2,71,651",81
Majuli,13,"36,590","30,952",85
Morigaon,67,"2,04,768","1,50,913",74
Nagaon,150,"6,66,615","4,34,947",65
Nalbari,84,"3,48,469","2,19,500",63
Sivasagar,96,"5,30,678","3,15,750",60
Sonitpur,123,"6,53,928","3,82,484",58
South Salmara,11,"33,716","16,352",49
Tinsukia,147,"8,22,249","4,28,274",52
Udalguri,47,"1,75,040","1,18,885",68
West Karbi Anglong,22,"32,322","28,650",89
