district,Total Branch,Inactive CSPs,RuPay card active in PMJDY,First time active RuPay card,Aadhaar Authenticated SB accounts,RuPay card issued in KCC
Baksa,53,16,184078,139951,45730,9813
Barpeta,123,33,581372,398317,278560,26580
Biswanath,57,7,103990,88678,36720,11115
Bongaigaon,56,18,181702,124753,54821,6047
Cachar,160,28,269429,175072,132233,14755
Charaideo,35,5,35789,25285,18131,4884
Chirang,33,3,125893,112182,31905,7387
Darrang,69,32,217439,167738,77881,15844
Dhemaji,45,17,250830,230923,36741,9934
Dhubri,87,26,334594,310497,163846,13532
Dibrugarh,180,33,232315,196598,99735,23707
Dima Hasao,29,7,27575,11134,13251,239
Goalpara,67,18,205187,184197,60440,13593
Golaghat,115,20,160500,149513,77844,19977
Hailakandi,44,9,145749,98501,59536,8239
Hojai,58,22,205637,175436,111200,8461
Jorhat,135,21,153512,98792,82273,21118
Kamrup Metro,165,34,370270,235565,128440,27893
Karbi Anglong,65,6,121905,46773,24655,4966
Karimganj,87,15,143540,127634,55460,4200
Kokrajhar,51,8,207157,178198,101758,10683
Lakhimpur,87,12,237903,226025,58363,15913
Majuli,13,0,21212,16686,12370,2897
Morigaon,67,27,120885,84108,84699,13734
Nagaon,150,53,488108,414382,329469,24240
Nalbari,84,9,128794,95169,72400,13943
Sivasagar,96,8,103496,89360,43639,9347
Sonitpur,123,29,263940,183949,163369,15270
South Salmara,11,4,71727,69743,27142,1211
Tinsukia,147,34,203253,127322,124720,24898
Udalguri,47,17,211509,185758,39405,15684
West Karbi Anglong,22,3,26640,25881,17110,754
