District,Total Branch,Sep-I No.,Sep-I Amt,Sep-G No.,Sep-G Amt,Sep-G No. of Beneficiary,SHG No.,SHG Amt,SHG No. of Beneficiary,Women SHG No.,Women SHG Amt,Women SHG No. of Beneficiary,Total Current Year NULM Disb No.,Total Current Year NULM Disb Amt,NULM O/S No.,NULM O/S Amt,NULM NPA No.,NULM NPA Amt,NULM NPA Amt. %
Baksa,53,0,0.00,2,7.06,16,2,7.06,16,16,7.06,16,4,14.12,39,28.09,6,1.19,4.24
Barpeta,123,3,0.50,7,14.10,46,27,80.71,217,63,85.71,217,37,95.31,638,526.89,226,68.36,12.97
Biswanath,57,0,0.00,0,0.00,40,0,0.00,0,0,0.00,0,0,0.00,47,63.07,1,0.42,0.67
Bongaigaon,56,0,0.00,2,5.26,2,12,20.08,60,8,10.84,55,14,25.34,65,56.34,26,10.99,19.51
Cachar,160,5,10.20,0,0.00,0,30,79.15,282,2,3.80,10,35,89.35,207,293.75,16,7.77,2.65
Charaideo,35,2,3.80,0,0.00,0,0,0.00,0,0,0.00,0,2,3.80,2,3.73,0,0.00,0.00
Chirang,33,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,39,39.94,4,3.21,8.04
Darrang,69,0,0.00,1,2.00,0,34,70.29,241,34,70.29,241,35,72.29,116,202.25,4,3.99,1.97
Dhemaji,45,1,1.32,1,0.16,0,30,79.39,210,29,78.39,209,32,80.87,11,16.21,2,1.51,9.32
Dhubri,87,0,0.00,6,4.45,80,11,10.25,92,13,8.13,77,17,14.70,229,139.58,196,108.84,77.98
Dibrugarh,180,39,71.34,18,19.61,193,120,296.83,1049,44,54.97,297,177,387.78,316,597.26,36,20.34,3.41
Dima Hasao,29,3,5.45,0,0.00,0,3,5.58,3,1,1.88,2,6,11.03,24,24.68,1,1.82,7.37
Goalpara,67,0,0.00,2,3.92,15,14,15.94,131,35,16.94,246,16,19.86,57,47.29,2,1.41,2.98
Golaghat,115,0,0.00,0,0.00,0,1,5.00,2,0,0.00,1,1,5.00,80,120.43,15,10.03,8.33
Hailakandi,44,1,1.80,4,4.05,35,31,40.70,52,37,7.27,39,36,46.55,192,198.01,15,18.81,9.50
Hojai,58,0,0.00,0,0.00,0,2,7.06,11,2,7.06,11,2,7.06,103,79.70,0,0.00,0.00
Jorhat,135,1,0.20,5,6.43,40,323,1240.28,3158,28,48.28,160,329,1246.91,618,1288.87,14,6.69,0.52
Kamrup Metro,165,3,0.06,4,6.96,37,115,209.95,834,139,213.33,831,122,216.97,228,250.22,17,11.32,4.52
Karbi Anglong,65,0,0.00,0,0.00,0,2,3.10,2,5,8.50,5,2,3.10,21,33.23,1,1.84,5.54
Karimganj,87,1,1.44,2,3.60,20,7,31.60,31,21,10.60,27,10,36.64,117,118.39,39,11.87,10.03
Kokrajhar,51,1,1.00,0,0.00,0,2,0.95,1,3,2.95,1,3,1.95,67,79.14,10,12.71,16.06
Lakhimpur,87,0,0.00,0,0.00,0,12,29.09,76,25,64.09,77,12,29.09,98,108.83,10,2.97,2.73
Majuli,13,0,0.00,0,0.00,0,1,1.00,1,0,0.00,0,1,1.00,0,0.00,0,0.00,0.00
Morigaon,67,0,0.00,0,0.00,0,4,7.37,31,5,8.37,32,4,7.37,264,259.68,58,14.32,5.51
Nagaon,150,1,0.48,0,0.00,0,120,430.24,1001,35,81.72,242,121,430.72,145,341.79,9,3.33,0.97
Nalbari,84,0,0.00,1,1.69,9,1,1.69,9,9,1.69,9,2,3.38,224,408.89,16,11.55,2.82
Sivasagar,96,7,10.21,0,0.00,0,15,23.02,119,15,31.03,82,22,33.23,118,143.39,6,6.18,4.31
Sonitpur,123,9,78.10,0,0.00,0,6,14.76,28,10,23.92,30,15,92.86,134,186.27,5,4.18,2.24
South Salmara,11,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0.00,0,0.00,0.00
Tinsukia,147,9,6.90,2,0.97,12,168,534.72,1535,56,88.72,335,179,542.59,558,870.70,46,38.37,4.41
Udalguri,47,0,0.00,1,2.02,8,2,3.02,18,17,3.02,139,3,5.04,24,21.37,6,4.03,18.86
West Karbi Anglong,22,0,0.00,1,0.89,5,0,0.00,0,0,0.00,0,1,0.89,46,85.71,0,0.00,0.00
