district,Total Branch,Export Credit A/C,Export Credit Amt,Education (PS) A/C,Education (PS) Amt,Housing (PS) A/C,Housing (PS) Amt,Social Infrastructure A/C,Social Infrastructure Amt.,Renewable Energy A/C,Renewable Energy Amt,Informal Credit A/C,Informal Credit Amt,Total Other PS Disb No.,Total Other PS Disb Amt.,Loans to weaker No,Loans to weaker Amt
Baksa,53,0,0.00,17,21.63,70,378.83,0,0.00,14,37.27,500,187.37,601,625.10,4500,6294.09
Barpeta,123,0,0.00,82,107.50,297,1473.95,0,0.00,59,107.21,2657,1393.55,3095,3082.21,15645,15753.27
Biswanath,57,0,0.00,35,51.30,56,294.72,0,0.00,30,44.66,645,358.60,766,749.28,6411,7295.78
Bongaigaon,56,0,0.00,26,49.48,156,888.95,2,42.90,30,47.18,1512,769.63,1726,1798.14,7239,9643.34
Cachar,160,0,0.00,173,181.94,822,2161.49,3,16.50,220,339.73,4245,2225.62,5463,4925.28,12064,10607.11
Charaideo,35,0,0.00,5,9.38,27,157.82,1,5.00,67,165.02,186,106.55,286,443.77,1665,3068.69
Chirang,33,0,0.00,6,33.90,44,213.83,0,0.00,18,21.81,701,354.95,769,624.49,3625,5986.98
Darrang,69,0,0.00,68,139.50,172,931.93,0,0.00,46,89.39,1105,599.95,1391,1760.77,7162,8432.17
Dhemaji,45,0,0.00,40,54.22,85,567.18,3,15.00,37,99.08,664,374.05,829,1109.53,9171,10732.97
Dhubri,87,0,0.00,34,42.58,233,880.07,8,1.84,47,67.51,1620,870.51,1942,1862.51,8980,12049.34
Dibrugarh,180,0,0.00,176,290.65,340,2107.89,1,10.00,137,148.10,2901,1492.80,3555,4049.44,23819,24611.24
Dima Hasao,29,0,0.00,11,17.51,22,124.51,0,0.00,200,1431.68,0,0.00,233,1573.70,890,1760.58
Goalpara,67,0,0.00,22,45.22,74,556.03,1,0.30,45,105.94,1422,693.12,1564,1400.61,7445,9416.88
Golaghat,115,0,0.00,85,104.06,132,932.45,0,0.00,160,301.97,2810,1446.53,3187,2785.01,14632,14996.91
Hailakandi,44,0,0.00,14,31.65,46,314.16,0,0.00,44,66.29,1841,958.70,1945,1370.80,4180,3825.80
Hojai,58,0,0.00,28,39.65,37,345.14,0,0.00,29,55.14,1567,841.10,1661,1281.03,5678,4909.65
Jorhat,135,0,0.00,196,265.66,372,2614.41,0,0.00,106,131.84,2542,1326.84,3216,4338.75,11350,12337.57
Kamrup Metro,165,0,0.00,303,405.42,788,2299.83,0,0.00,73,131.46,3273,1855.35,4437,4692.06,19462,17872.86
Karbi Anglong,65,0,0.00,24,30.08,57,364.50,0,0.00,493,2985.87,799,433.65,1373,3814.10,10492,11828.14
Karimganj,87,1,50.00,9,9.58,231,498.16,1,10.00,85,154.84,6682,3458.93,7009,4181.51,9335,7186.28
Kokrajhar,51,0,0.00,28,34.64,71,472.52,0,0.00,57,77.14,2548,1032.11,2704,1616.41,9647,10713.48
Lakhimpur,87,0,0.00,74,92.72,120,949.63,2,15.80,61,124.04,1310,714.90,1567,1897.09,15539,14521.05
Majuli,13,0,0.00,3,2.18,27,271.59,0,0.00,0,0.00,0,0.00,30,273.77,912,1868.14
Morigaon,67,0,0.00,22,45.49,48,350.23,1,1.00,45,143.73,945,560.90,1061,1101.35,6956,7265.72
Nagaon,150,0,0.00,71,92.36,255,1614.71,1,2.00,173,375.76,2804,1587.63,3304,3672.46,19682,19951.06
Nalbari,84,0,0.00,62,56.74,219,1357.00,1,10.00,40,67.37,1000,562.05,1322,2053.16,9361,9146.11
Sivasagar,96,0,0.00,68,98.72,209,1174.96,0,0.00,132,204.95,1490,788.27,1899,2266.90,8978,9973.06
Sonitpur,123,0,0.00,113,175.48,330,1955.39,2,10.00,59,63.96,2766,1501.20,3270,3706.03,11774,12764.15
South Salmara,11,0,0.00,0,0.00,38,232.61,0,0.00,1,13.50,0,0.00,39,246.11,463,1030.38
Tinsukia,147,0,0.00,113,229.19,208,1555.29,1,10.00,78,97.79,2178,1126.00,2578,3018.27,17452,19125.39
Udalguri,47,0,0.00,55,58.36,138,800.53,0,0.00,27,50.19,1129,481.65,1349,1390.73,5720,6804.73
West Karbi Anglong,22,0,0.00,2,1.41,9,49.85,0,0.00,136,845.76,0,0.00,147,897.02,2001,2052.51
