District,Total Branch,Export No.,Export Amt,Education PS No.,Education PS Amt,Housing PS No.,Housing PS Amt,Social Infra No.,Social Infra Amt,Renewable No.,Renewable Amt,Other PS No.,Other PS Amt,Total Other (PS) NPA No.,Total Other (PS) NPA Amt
Baksa,53,0,0.00,11,24.93,182,651.84,0,0.00,42,11.74,742,167.86,977,856.37
Barpeta,123,0,0.00,32,87.59,173,684.22,0,0.00,511,243.39,1551,433.98,2267,1449.18
Biswanath,57,0,0.00,18,37.25,57,150.18,0,0.00,0,0.00,2255,747.01,2330,934.44
Bongaigaon,56,0,0.00,7,19.29,39,218.50,0,0.00,108,52.82,1731,435.80,1885,726.41
Cachar,160,0,0.00,66,174.53,143,664.09,0,0.00,11,15.20,1988,748.67,2208,1602.49
Charaideo,35,0,0.00,9,39.69,13,87.12,0,0.00,58,23.46,788,418.39,868,568.66
Chirang,33,0,0.00,13,33.50,21,33.85,0,0.00,141,56.55,861,82.60,1036,206.50
Darrang,69,0,0.00,20,39.02,120,363.73,0,0.00,49,22.90,1487,581.43,1676,1007.08
Dhemaji,45,0,0.00,13,39.87,42,212.41,0,0.00,20,6.16,494,120.49,569,378.93
Dhubri,87,0,0.00,20,59.39,90,332.06,2,9.68,268,155.78,1055,576.76,1435,1133.67
Dibrugarh,180,0,0.00,62,179.18,153,1313.22,0,0.00,16,5.32,3310,1378.16,3541,2875.88
Dima Hasao,29,0,0.00,1,3.46,18,46.20,0,0.00,0,0.00,4,11.17,23,60.83
Goalpara,67,0,0.00,13,44.20,62,214.17,1,0.06,465,301.51,1690,434.27,2231,994.21
Golaghat,115,0,0.00,23,47.69,73,354.47,0,0.00,4,1.22,2333,652.68,2433,1056.06
Hailakandi,44,0,0.00,8,11.51,56,265.33,0,0.00,23,12.80,63,88.47,150,378.11
Hojai,58,0,0.00,16,73.96,24,152.41,1,1.19,0,0.00,540,1869.04,581,2096.60
Jorhat,135,0,0.00,47,151.63,172,758.90,0,0.00,0,0.00,5773,1442.01,5992,2352.54
Kamrup Metro,165,0,0.00,51,136.64,263,727.35,2,10.41,17,7.03,13518,2383.99,13851,3265.42
Karbi Anglong,65,0,0.00,20,51.04,47,128.38,0,0.00,0,0.00,564,157.00,631,336.42
Karimganj,87,0,0.00,7,14.99,65,243.81,2,5.47,10,2.67,1068,895.25,1152,1162.19
Kokrajhar,51,0,0.00,4,5.84,28,169.83,0,0.00,1,0.92,1144,209.52,1177,386.11
Lakhimpur,87,0,0.00,25,61.57,142,550.98,1,0.00,94,41.49,2092,1770.45,2354,2424.49
Majuli,13,0,0.00,5,7.19,34,106.42,0,0.00,0,0.00,608,835.27,647,948.88
Morigaon,67,0,0.00,15,31.29,174,768.72,0,0.00,25,10.24,408,1694.61,622,2504.86
Nagaon,150,0,0.00,38,102.52,248,1204.77,0,0.00,2,1.68,4141,1893.53,4429,3202.50
Nalbari,84,0,0.00,48,110.97,309,812.10,0,0.00,8,2.28,4186,1026.59,4551,1951.94
Sivasagar,96,0,0.00,20,54.82,77,419.49,0,0.00,17,6.89,1899,864.68,2013,1345.88
Sonitpur,123,0,0.00,50,97.00,205,577.49,0,0.00,2,1.06,4766,2777.22,5023,3452.77
South Salmara,11,0,0.00,9,31.60,14,36.18,0,0.00,7,5.00,202,228.08,232,300.86
Tinsukia,147,0,0.00,35,101.67,107,677.94,1,0.00,22,5.94,2192,939.19,2357,1724.74
Udalguri,47,0,0.00,22,67.46,38,117.46,0,0.00,1,0.28,2804,1268.96,2865,1454.16
West Karbi Anglong,22,0,0.00,1,2.52,16,34.42,0,0.00,7,0.51,5,3.70,29,41.15
