district,Total Branch,Agri (PS) Target No.,Agri (PS) Target Amount,Agri (PS) Achieved No.,Agri (PS) Achieved Amount,Agri(PS) Achv% Amount,Crop Loan Target No.,Crop Loan Target Amount,Crop Loan Achieved No.,Crop Loan Achieved Amount,Crop Loan Achv% Amount,MSME (PS) Target No.,MSME (PS) Target Amount,MSME (PS) Achieved No.,MSME (PS) Achieved Amount,MSME (PS) Achv% Amount,Other PS Target No.,Other PS Target Amount,Other PS Achieved No.,Other PS Achieved Amount,Other PS Achv% Amount,Total (PS) Target No.,Total (PS) Target Amount,Total (PS) Achieved No.,Total (PS) Achieved Amount,Total(PS) Achv% Amount
Baksa,53,49272,13615.61,4667,6146.05,45.14,25756,8491.78,1996,1896.59,22.33,1905,1681.00,2181,5561.53,330.85,4185,4530.66,601,625.10,13.80,55362,19827.27,7449,12332.68,62.2
Barpeta,123,83903,118203.25,16403,16070.73,13.60,66190,76636.72,5090,5479.76,7.15,8874,36124.61,4115,28651.42,79.31,3942,17153.05,3042,2859.80,16.67,96719,171480.91,23560,47581.95,27.75
Biswanath,57,11942,24758.81,6527,9516.63,38.44,8085,15370.00,3959,3676.42,23.92,3718,9839.70,2545,8481.96,86.20,2557,6915.74,766,749.28,10.83,18217,41514.25,9838,18747.87,45.16
Bongaigaon,56,11341,10145.46,7206,8127.84,80.11,8265,5072.73,2329,3417.01,67.36,7254,31393.54,1664,15904.79,50.66,1496,5550.00,1726,1798.14,32.40,20091,47089.00,10596,25830.77,54.86
Cachar,160,39581,44268.64,7955,10100.28,22.82,15145,15620.55,4082,4941.22,31.63,10389,65480.00,4101,36710.70,56.06,3429,15055.72,5463,4925.28,32.71,53399,124804.36,17519,51736.26,41.45
Charaideo,35,28823,34359.00,1847,3390.04,9.87,19276,18937.00,1083,1236.68,6.53,2020,7963.00,773,1858.11,23.33,2615,9827.00,286,443.77,4.52,33458,52149.00,2906,5691.92,10.91
Chirang,33,11553,9519.76,3269,5218.19,54.81,5694,5405.78,1889,2110.94,39.05,1968,6782.41,978,3635.42,53.60,1731,3948.27,769,624.49,15.82,15252,20250.44,5016,9478.10,46.8
Darrang,69,20652,16448.02,8501,10499.62,63.84,13340,8934.46,3781,3330.60,37.28,7127,20559.87,1911,8929.26,43.43,1232,4112.88,1391,1760.77,42.81,29011,41120.77,11803,21189.65,51.53
Dhemaji,45,16657,17962.00,10361,10106.76,56.27,7477,6517.00,4391,4439.39,68.12,4887,10128.00,3307,6194.01,61.16,3235,6921.00,829,1109.53,16.03,24779,35011.00,14497,17410.30,49.73
Dhubri,87,54127,64477.22,7787,9855.46,15.29,16296,14162.91,4825,5759.32,40.66,3968,28587.15,2030,11524.57,40.31,4036,10777.73,1942,1862.51,17.28,62131,103842.10,11759,23242.54,22.38
Dibrugarh,180,39259,62124.38,22564,33415.92,53.79,23673,29976.94,13700,14422.19,48.11,9602,48485.36,7504,71245.61,146.94,3044,18143.52,3555,4049.44,22.32,51905,128753.26,33623,108710.97,84.43
Dima Hasao,29,7548,11387.84,700,783.86,6.88,5576,7200.46,278,96.11,1.33,614,1904.00,404,908.79,47.73,333,765.40,233,1573.70,205.60,8495,14057.24,1337,3266.35,23.24
Goalpara,67,20436,19350.00,7131,8285.83,42.82,11865,11321.00,3092,3162.32,27.93,4002,11280.00,1839,8654.79,76.73,4882,8230.00,1564,1400.61,17.02,29320,38860.00,10534,18341.23,47.2
Golaghat,115,27202,28267.00,16743,24257.15,85.81,13591,8845.00,7651,9416.81,106.46,6137,26323.00,3224,14351.57,54.52,3540,9527.00,3187,2785.01,29.23,36879,64117.00,23154,41393.73,64.56
Hailakandi,44,16988,16326.42,2728,3823.61,23.42,13460,11932.00,1546,1174.59,9.84,1594,5713.20,928,7188.81,125.83,510,1342.63,1945,1370.80,102.10,19092,23382.25,5601,12383.22,52.96
Hojai,58,8641,9896.45,5881,5086.50,51.40,3208,3145.27,3208,2945.47,93.65,4190,12656.00,1828,10906.72,86.18,10105,8870.61,1661,1281.03,14.44,22936,31423.06,9370,17274.25,54.97
Jorhat,135,66307,63872.00,10848,29193.26,45.71,40164,37996.00,5120,4772.47,12.56,2404,28894.00,4552,45163.15,156.31,5238,16645.00,3216,4338.75,26.07,73949,109411.00,18616,78695.16,71.93
KARIMGANJ,87,18580,18741.10,3983,3691.05,19.69,10725,10744.22,2414,1785.12,16.61,4953,17364.00,1923,9801.46,56.45,897,2336.86,7009,4181.51,178.94,24430,38441.96,12915,17674.02,45.98
Kamrup,165,30748,36212.83,21776,18065.27,49.89,20147,17985.05,5941,6304.86,35.06,14059,68055.45,6532,26824.25,39.42,6627,18084.73,4437,4692.06,25.94,51434,122353.01,32745,49581.58,40.52
Kamrup Metro,419,22960,50343.00,9692,43685.39,86.78,8000,8445.03,1684,4175.07,49.44,68302,441600.00,10985,488736.64,110.67,15627,46161.00,5030,14215.32,30.80,106889,538104.00,25707,546637.35,101.59
Karbi Anglong,65,71189,66857.38,12074,12044.70,18.02,52000,45134.31,8092,5352.51,11.86,1550,8569.80,1684,4254.43,49.64,1810,14254.16,1373,3814.10,26.76,74549,89681.34,15131,20113.23,22.43
Kokrajhar,51,21050,18581.00,6977,8314.93,44.75,11041,8145.00,5058,5779.97,70.96,1921,10185.00,1048,5937.60,58.30,4074,12340.00,2704,1616.41,13.10,27045,41106.00,10729,15868.94,38.6
Lakhimpur,87,36770,32065.00,17837,13457.53,41.97,21000,13340.00,8767,8183.17,61.34,6650,20845.00,5846,18994.53,91.12,4922,9970.00,1567,1897.09,19.03,48342,62880.00,25250,34349.15,54.63
Majuli,13,10620,8771.50,1012,3364.72,38.36,8606,7125.00,706,2561.74,35.95,283,878.00,728,1200.12,136.69,745,2301.00,30,273.77,11.90,11648,11950.50,1770,4838.61,40.49
Morigaon,67,29401,27629.80,7891,7661.06,27.73,24220,12289.90,3756,3209.42,26.11,1300,15370.76,1944,7789.90,50.68,2413,5705.63,1061,1101.35,19.30,33114,48706.19,10896,16552.31,33.98
Nagaon,150,47451,46599.28,23952,20340.46,43.65,31463,30775.54,8383,7925.27,25.75,14514,41023.26,3150,27048.54,65.93,38072,29009.91,3304,3672.46,12.66,100037,116632.45,30406,51061.46,43.78
Nalbari,84,12063,17580.00,13065,9195.24,52.31,5570,5570.00,2233,2379.24,42.72,13083,15920.00,1880,13003.87,81.68,2816,7679.00,1322,2053.16,26.74,27962,41179.00,16267,24252.27,58.89
Sivasagar,96,18196,32478.07,10343,10952.01,33.72,11122,13816.46,4071,4556.46,32.98,4549,12155.30,3734,28907.47,237.82,1910,7375.14,1899,2266.90,30.74,24655,52008.51,15976,42126.38,81
