District,Village Name,Bank allotted,Status as on 31.12.2022
Baksa,Simlabari,UCO,"Civil work is going on; therefore, they seek the permission for opening of Branch on 31.01.2023."
Barpeta,Mowkhowa Char N.C.,UCO,Still unable to find out any viable premises in that area. The bank is still under a process for searching premises.
Chirang,Hatisar F.V,UNION,The branch is functional in the temporary premises till the construction and furnishing of the permanent premises completes.
Darrang,Algachar N.C.,UCO,
Goalpara,Khalingduar RF,UCO,Bank is under process to revisit that area for Survey and searching of premises.
Hailakandi,Baruncherra F.V.,AGVB/PNB,"Since AGVB is unable to open new branch in this village, the sponsored bank PNB is allotted to take up setting up of Branch here. Presently in process by CO Silchar, PNB."
Kamrup Metro,Barduar Tea Garden No.2,UCO,
Sonitpur,Chari Duar Gaon,AGVB,Updated in Jan Darshak app. Bank Mitra Name - Williar Sangma Ph. No. 8011279708
Udalguri,Orangajuli T.E.,SBI,Branch at Dimakuchi is opened on 26.12.2022.
