district,Total Branch,Crop No,Crop Amt,Term Loan No,Term Loan Amt,Agri Infra No,Agri Infra Amt,Ancillary No,Ancillary Amt,Tot Agri (PS) NPA No.,Tot Agri (PS) NPA Amt.
Baksa,53,5701,2946.15,4977,2890.49,7,7.10,201,127.02,10886,5970.76
Barpeta,123,18722,10165.82,17326,6428.37,25,33.40,606,452.45,36679,17080.04
Biswanath,57,6090,3541.66,4502,2004.77,5,4.77,266,188.69,10863,5739.89
Bongaigaon,56,2519,1193.33,2583,706.20,15,16.50,160,232.72,5277,2148.75
Cachar,160,17779,9689.14,2947,2046.75,80,180.44,859,1511.85,21665,13428.18
Charaideo,35,1941,1292.57,1347,901.77,12,15.52,173,163.05,3473,2372.91
Chirang,33,6170,3038.55,2379,1573.19,4,6.00,49,67.44,8602,4685.18
Darrang,69,11279,6168.38,9387,4548.04,15,22.49,215,235.90,20896,10974.81
Dhemaji,45,7985,4259.00,2990,1849.17,18,34.00,466,374.27,11459,6516.44
Dhubri,87,13088,6136.44,4586,2293.73,32,39.35,325,320.39,18031,8789.91
Dibrugarh,180,27718,15889.87,14001,4680.09,74,99.48,1009,1165.95,42802,21835.39
Dima Hasao,29,559,135.89,312,191.18,1,2.00,37,23.80,909,352.87
Goalpara,67,8195,3681.83,3830,3273.52,17,17.39,258,236.15,12300,7208.89
Golaghat,115,21927,10022.60,12662,3680.02,37,64.04,727,848.78,35353,14615.44
Hailakandi,44,6466,3020.60,1345,901.13,23,37.60,242,179.25,8076,4138.58
Hojai,58,7898,3932.44,828,477.30,28,28.90,527,437.53,9281,4876.17
Jorhat,135,19426,8369.98,11053,3410.52,27,47.35,929,1093.95,31435,12921.80
Kamrup Metro,165,25637,13868.37,11761,4616.64,36,81.16,629,835.70,38063,19401.87
Karbi Anglong,65,7172,3204.29,2039,964.48,2,3.00,130,56.78,9343,4228.55
Karimganj,87,7875,4013.97,4045,1580.39,47,89.00,630,942.11,12597,6625.47
Kokrajhar,51,7055,3773.21,1967,1562.01,4,3.00,60,65.25,9086,5403.47
Lakhimpur,87,17588,10591.88,10241,3512.89,39,55.00,968,764.49,28836,14924.26
Majuli,13,1625,782.17,1028,822.96,3,3.00,47,52.88,2703,1661.01
Morigaon,67,9955,5474.70,5421,2743.40,41,71.55,778,1194.76,16195,9484.41
Nagaon,150,33392,15227.24,22645,6018.29,94,162.45,1226,1373.72,57357,22781.70
Nalbari,84,11321,5075.43,15349,4234.18,12,15.24,233,270.83,26915,9595.68
Sivasagar,96,8830,3972.15,7976,2869.44,17,29.00,919,664.45,17742,7535.04
Sonitpur,123,8531,4863.07,9297,3993.52,22,46.84,698,546.43,18548,9449.86
South Salmara,11,1686,536.52,326,431.04,0,0.00,0,0.00,2012,967.56
Tinsukia,147,16359,10157.35,7584,2861.45,53,1917.37,885,1083.21,24881,16019.38
Udalguri,47,16785,10304.55,8972,5150.74,1,0.54,269,82.98,26027,15538.81
West Karbi Anglong,22,1675,734.61,1172,368.50,1,0.00,59,13.61,2907,1116.72
