District,Total Branch,Export No.,Export Amt,Education PS No.,Education PS Amt,Housing PS No.,Housing PS Amt,Social Infra No.,Social Infra Amt,Renewable No.,Renewable Amt,Other PS No.,Other PS Amt,Ops Total O/S No.,Ops Total O/S Amt
Baksa,53,0,0.00,73,194.05,1007,8809.27,0,0.00,47,11.75,6038,2116.39,7165,11131.46
Barpeta,123,0,0.00,418,1273.48,3319,29443.00,1,25.45,518,243.40,38446,13425.54,42702,44410.87
Biswanath,57,0,0.00,144,396.61,1393,11072.97,0,0.00,0,0.00,17434,9207.60,18971,20677.18
Bongaigaon,56,0,0.00,135,557.48,1868,15827.35,2,69.27,109,52.82,20270,8012.49,22384,24519.41
Cachar,160,0,0.00,977,2887.74,3920,25840.60,3,16.41,16,15.20,81218,32445.78,86134,61205.73
Charaideo,35,0,0.00,71,189.37,410,3399.88,1,4.88,58,23.46,5275,4017.33,5815,7634.92
Chirang,33,0,0.00,60,228.45,617,6140.74,0,0.00,141,56.55,9622,3164.77,10440,9590.51
Darrang,69,0,0.00,332,995.10,1622,13393.92,0,0.00,49,22.90,25550,9041.16,27553,23453.08
Dhemaji,45,0,0.00,150,427.11,1653,14761.53,3,14.87,24,6.16,6971,2648.32,8801,17857.99
Dhubri,87,0,0.00,180,601.48,1978,16497.57,9,13.23,268,155.78,39072,14140.61,41507,31408.67
Dibrugarh,180,0,0.00,861,2804.34,4541,39077.87,1,9.26,16,5.32,31803,17307.65,37222,59204.44
Dima Hasao,29,0,0.00,30,78.75,551,3455.43,0,0.00,0,0.00,66,163.03,647,3697.21
Goalpara,67,0,0.00,129,475.15,1023,9628.05,2,0.34,468,301.56,17895,7508.21,19517,17913.31
Golaghat,115,0,0.00,343,1020.17,2346,18818.76,0,0.00,4,1.22,34234,13244.32,36927,33084.47
Hailakandi,44,0,0.00,93,240.04,969,6845.60,0,0.00,23,12.80,14381,5883.43,15466,12981.87
Hojai,58,0,0.00,145,438.07,900,7566.65,1,1.19,0,0.00,19322,22832.34,20368,30838.25
Jorhat,135,0,0.00,793,2667.44,4327,36617.34,1,80.51,0,0.00,27978,11993.65,33099,51358.94
Kamrup Metro,165,0,0.00,1128,3708.83,4180,31265.65,2,10.41,17,7.03,66921,24747.58,72248,59739.50
Karbi Anglong,65,0,0.00,121,297.14,2293,22358.44,0,0.00,0,0.00,3463,1592.75,5877,24248.33
Karimganj,87,1,50.36,99,291.84,1284,6706.69,2,5.47,14,2.67,38048,20405.17,39448,27462.20
Kokrajhar,51,0,0.00,101,306.87,1056,10859.74,1,800.00,2,1.68,17552,5676.11,18712,17644.40
Lakhimpur,87,0,0.00,325,886.10,3334,27157.48,4,4.49,94,41.49,20212,16334.01,23969,44423.57
Majuli,13,0,0.00,42,96.15,282,1802.44,0,0.00,0,0.00,1116,8460.19,1440,10358.78
Morigaon,67,0,0.00,134,415.11,1674,11404.61,1,0.40,25,10.24,17034,23494.18,18868,35324.54
Nagaon,150,0,0.00,327,1129.68,3990,31461.99,4,119.60,2,1.68,54896,30794.96,59219,63507.91
Nalbari,84,0,0.00,324,1021.12,2777,22846.26,2,34.96,8,2.28,24222,10385.81,27333,34290.43
Sivasagar,96,0,0.00,303,903.81,2786,22437.16,1,3.40,17,6.89,20113,11117.61,23220,34468.87
Sonitpur,123,0,0.00,472,1559.86,3623,30387.60,1,3.79,3,2.36,34856,25676.99,38955,57630.60
South Salmara,11,0,0.00,14,47.74,269,2695.10,0,0.00,7,5.00,239,386.22,529,3134.06
Tinsukia,147,0,0.00,572,1988.37,3047,25381.14,2,9.52,22,5.94,24506,13733.93,28149,41118.90
Udalguri,47,0,0.00,256,660.87,1687,16478.87,0,0.00,1,0.28,8005,3185.64,9949,20325.66
West Karbi Anglong,22,0,0.00,16,56.08,570,6059.67,0,0.00,7,0.51,13,3.92,606,6120.18
