District,Total Branch,Christians No.,Christians Amt,Muslims No.,Muslims Amt,Buddhists No.,Buddhists Amt,Sikhs No.,Sikhs Amt,Zoroastrians No.,Zoroastrians Amt,Jains No.,Jains Amt,Tot Loan to Minority O/S No.,Tot Loan to Minority O/S Amt
Baksa,53,187,422.67,7112,6463.39,15,39.24,0,0.00,0,0.00,17,17.40,7331,6942.70
Barpeta,123,205,517.71,102805,100751.11,45,58.29,11,75.42,2,2.93,31,207.51,103099,101612.97
Biswanath,57,477,496.34,12426,8532.85,14,22.28,8,53.52,3,3.22,12,121.39,12940,9229.60
Bongaigaon,56,1141,1330.26,25788,34553.84,220,102.00,18,81.76,40,10.00,26,100.02,27233,36177.88
Cachar,160,2181,4583.71,101148,92812.52,66,186.35,47,214.09,5,2.38,27,275.94,103474,98074.99
Charaideo,35,160,175.63,2724,2070.44,58,96.29,15,46.07,4,6.08,5,2.31,2966,2396.82
Chirang,33,3172,2371.93,10259,8035.51,42,44.28,2,3.98,6,5.23,3,1.40,13484,10462.33
Darrang,69,263,499.74,62910,50204.62,46,80.78,3,15.69,1,0.52,18,276.04,63241,51077.39
Dhemaji,45,112,197.08,1324,1016.32,11,44.41,15,82.11,0,0.00,5,9.90,1467,1349.82
Dhubri,87,605,764.61,89049,81698.51,11,23.33,20,109.75,2,1.12,19,161.57,89706,82758.89
Dibrugarh,180,1367,3343.46,13942,18619.74,185,623.07,265,1269.93,7,5.53,43,417.65,15809,24279.38
Dima Hasao,29,2532,6956.78,590,1130.29,7,27.89,8,21.38,0,0.00,0,0.00,3137,8136.34
Goalpara,67,5337,3673.61,43718,42628.37,16,11.02,14,65.86,14,12.89,12,57.40,49111,46449.15
Golaghat,115,1582,1390.76,12806,11850.88,334,215.93,60,94.19,5,2.57,20,130.54,14807,13684.87
Hailakandi,44,204,379.37,33481,34642.94,3,8.49,4,4.98,0,0.00,1,0.22,33693,35036.00
Hojai,58,277,511.70,32124,26871.21,17,55.93,27,50.85,1,0.57,2,9.27,32448,27499.53
Jorhat,135,1310,3488.50,19629,15402.72,633,639.16,125,868.77,2,2.82,63,1449.05,21762,21851.02
Kamrup Metro,165,1231,1462.65,71243,65724.70,281,241.48,52,405.00,0,0.00,36,519.40,72843,68353.23
Karbi Anglong,65,4089,4326.43,2201,2474.06,63,249.40,8,62.33,2,0.91,9,122.14,6372,7235.27
Karimganj,87,700,631.74,46526,36570.37,12,22.04,10,55.20,1,3.53,5,88.02,47254,37370.90
Kokrajhar,51,4930,4299.28,17413,14709.87,6,3.70,11,51.10,2,34.69,13,52.74,22375,19151.38
Lakhimpur,87,1274,1318.84,29811,22347.14,52,148.00,33,41.42,22,15.96,5,4.25,31197,23875.61
Majuli,13,9,6.58,630,387.46,1,0.38,0,0.00,0,0.00,0,0.00,640,394.42
Morigaon,67,95,164.14,39158,26548.03,21,45.12,8,35.29,1,0.25,3,4.37,39286,26797.20
Nagaon,150,1261,1200.85,137983,102002.86,82,56.56,141,544.23,27,9.92,30,135.80,139524,103950.22
Nalbari,84,113,259.54,34943,31190.07,25,41.28,27,35.58,3,2.16,25,681.56,35136,32210.19
Sivasagar,96,901,908.75,17439,24883.58,801,479.61,48,122.67,3,8.31,13,49.29,19205,26452.21
Sonitpur,123,1626,4009.69,37480,27531.83,174,724.52,97,383.82,2,0.61,26,199.36,39405,32849.83
South Salmara,11,19,81.10,5290,10544.40,0,0.00,0,0.00,0,0.00,1,0.47,5310,10625.97
Tinsukia,147,1604,4694.14,9231,10090.95,448,1477.84,154,1765.44,2,0.33,33,362.64,11472,18391.34
Udalguri,47,5467,8263.71,7233,10289.98,2,6.59,4,1.82,5,3.34,3,0.61,12714,18566.05
West Karbi Anglong,22,394,793.03,41,171.76,1,1.26,7,13.94,1,0.35,0,0.00,444,980.34
