district,Total Branch,Farm Credit Crop No,Farm Credit Crop Amt,Farm Credit Term Loan No,Farm Credit Term Loan Amt,Agri Infra No,Agri Infra Amt,Ancillary No,Ancillary Amt,Agri Total O/S No.,Agri Total O/S Amount
Baksa,53,19024,13610.38,15132,10416.77,67,43.87,4453,3048.87,38676,27119.89
Barpeta,123,50145,36379.62,49472,25014.76,386,782.48,8680,6589.52,108683,68766.38
Biswanath,57,24788,16344.42,15754,11610.10,230,638.14,5396,3970.19,46168,32562.85
Bongaigaon,56,13204,11476.38,12503,8205.56,147,133.25,2426,3105.90,28280,22921.09
Cachar,160,48719,33294.41,26553,14990.33,814,1211.74,9584,14742.73,85670,64239.21
Charaideo,35,11086,7377.40,6095,4818.53,89,132.10,2651,1573.93,19921,13901.96
Chirang,33,18189,11746.39,7081,5759.64,415,244.62,1966,2280.85,27651,20031.50
Darrang,69,31493,21450.38,30243,14975.72,207,242.66,5485,4717.13,67428,41385.89
Dhemaji,45,24583,16718.54,15241,10852.83,168,315.70,5495,3023.76,45487,30910.83
Dhubri,87,31142,19266.02,17886,10733.93,2093,1066.39,4572,3118.73,55693,34185.07
Dibrugarh,180,65633,48916.04,40084,17571.42,556,1025.17,12531,26762.60,118804,94275.23
Dima Hasao,29,1715,655.03,1311,1267.33,13,16.90,175,249.08,3214,2188.34
Goalpara,67,27052,15007.79,15908,10141.99,223,211.46,7332,5275.62,50515,30636.86
Golaghat,115,51167,31600.54,37277,20657.93,936,995.64,9143,15156.02,98523,68410.13
Hailakandi,44,18184,10489.56,5608,4109.98,210,317.71,1926,2282.29,25928,17199.54
Hojai,58,20769,12578.86,8545,5005.61,1280,735.62,5425,3780.23,36019,22100.32
Jorhat,135,41214,23811.79,36998,19590.96,785,1348.28,7533,25740.59,86530,70491.62
Kamrup Metro,165,66468,42379.58,50139,23399.07,428,460.40,17185,14009.48,134220,80248.53
Karbi Anglong,65,34999,17345.33,12190,10141.36,20,30.33,2621,775.53,49830,28292.55
Karimganj,87,25932,18237.44,15867,9443.37,483,830.91,5567,7236.25,47849,35747.97
Kokrajhar,51,24111,18052.39,6567,4431.79,899,407.31,1217,1086.78,32794,23978.27
Lakhimpur,87,56045,39544.28,38276,18083.34,483,562.02,11648,7465.27,106452,65654.91
Majuli,13,5032,2920.06,2763,2593.01,27,28.78,324,345.78,8146,5887.63
Morigaon,67,38228,27200.92,23148,13548.00,783,815.25,8583,7745.54,70742,49309.71
Nagaon,150,76575,49246.65,76808,35039.19,1638,1543.62,15905,14056.54,170926,99886.00
Nalbari,84,29131,17671.54,42728,19197.64,159,161.15,5132,6557.21,77150,43587.54
Sivasagar,96,25249,16627.30,32268,13810.49,201,332.43,9997,8411.84,67715,39182.06
Sonitpur,123,29521,22064.13,39273,19859.39,581,385.11,11111,10558.04,80486,52866.67
South Salmara,11,2488,1052.18,752,924.42,0,0.00,0,0.00,3240,1976.60
Tinsukia,147,47066,39142.36,29156,15534.66,450,3276.15,7899,70094.06,84571,128047.23
Udalguri,47,33758,21807.95,15222,9840.07,52,16.75,3303,1370.69,52335,33035.46
West Karbi Anglong,22,11049,4727.46,3580,2731.64,1,0.00,160,35.73,14790,7494.83
