district,Total Branch,Rural No,Urban No,Male No,Female No,Total PMJDY No.,No of Zero Balance A/c,Amt Deposits held in the A/c,No of Rupay Card Issued,No of Rupay Card Activated,No of Aadhaar Seeded
Baksa,53,519891,577,208023,312893,520916,40757,14661.82,307940,172268,75684
Barpeta,123,1134884,354248,699311,865658,1564969,215371,37067.52,868642,515819,272847
Biswanath,57,336501,50711,156977,230194,387171,34484,15148.88,168082,95766,50501
Bongaigaon,56,208036,139780,165635,236350,401985,29467,16472.97,265713,156455,38442
Cachar,160,746999,334770,504854,577891,1082745,73410,47354.68,568233,423283,123932
Charaideo,35,240449,60627,121837,179214,301051,28438,12018.40,138905,76202,23167
Chirang,33,383122,14692,171371,226363,397734,35153,11561.79,265977,163827,67332
Darrang,69,639430,210489,369317,486199,855516,88544,22770.60,386063,246489,83949
Dhemaji,45,548734,119855,287494,380992,668486,42253,17157.07,387343,252450,35001
Dhubri,87,1217074,297600,648714,867121,1515835,230053,34710.12,633367,400094,163925
Dibrugarh,180,478005,202836,297315,392137,689452,66537,31768.09,436842,279331,78866
Dima Hasao,29,49554,18042,33466,36484,69950,1000,3859.97,36326,25434,14043
Goalpara,67,511324,201700,300347,413041,713388,65572,17885.01,381735,250506,95323
Golaghat,115,522318,115056,265530,382637,648167,47881,26631.00,317415,211607,73394
Hailakandi,44,329959,137971,222229,259732,481961,49824,16384.49,223573,169456,61750
Hojai,58,351379,272455,274568,352344,626912,46482,25948.44,423914,292485,76838
Jorhat,135,275508,226919,212715,290138,502853,47097,24524.99,292621,204205,43811
Kamrup Metro,165,833229,108189,413954,528168,942122,86989,30818.21,604408,375240,156705
Karbi Anglong,65,202142,39362,107984,156414,264398,13615,9842.21,84800,47357,35854
Karimganj,87,597602,76817,310084,364772,674856,55661,30302.96,334502,252495,69579
Kokrajhar,51,477299,92186,261822,337319,599141,72342,16438.32,313125,191173,100886
Lakhimpur,87,555128,213265,341427,448871,790298,46236,29882.10,498517,313336,54619
Majuli,13,129182,16444,64081,81530,145611,15169,5103.95,65664,48057,15448
Morigaon,67,521608,225222,329993,419473,749466,55159,29206.83,407425,280187,89429
Nagaon,150,1139928,482917,706212,919389,1625601,175007,41476.08,759111,520528,299150
Nalbari,84,374296,94575,206723,276826,483549,53282,16187.50,216109,140144,91368
Sivasagar,96,267320,79902,153415,205429,358844,23211,17218.22,243074,145274,34065
Sonitpur,123,511635,203956,332802,473521,806323,102784,27167.69,412391,259408,142585
South Salmara,11,237851,21793,100934,158680,259614,40611,3787.41,104551,67655,40353
Tinsukia,147,455209,290736,339689,414748,754437,69702,35347.12,438000,316845,90280
Udalguri,47,587726,106079,292476,401409,693885,90511,17319.44,342260,215158,69877
West Karbi Anglong,22,109368,0,47995,62556,110551,5912,3427.47,36085,20775,16528
