District,Total Branch,Sishu O/S No.,Sishu O/S Amt,Sishu NPA No.,Sishu NPA Amt,Kishore O/S No.,Kishore O/S Amt,Kishore NPA No.,Kishore NPA Amt,Tarun O/S No.,Tarun O/S Amt,Tarun NPA No.,Tarun NPA Amt,Total MUDRA O/S No.,Total MUDRA O/S Amt,Total MUDRA NPA No.,Total MUDRA NPA Amt,MUDRA NPA Amt.%
Baksa,53,5605,1270.57,1874,395.85,4570,5184.49,821,1186.99,196,983.98,19,111.92,10371,7439.04,2714,1694.76,22.78
Barpeta,123,34625,6364.28,5667,1420.76,31440,26161.94,6773,6005.67,1487,7421.66,109,552.10,67552,39947.88,12549,7978.53,19.97
Biswanath,57,8997,1675.88,1966,469.28,11205,8435.31,1597,1332.16,274,1600.36,17,89.74,20476,11711.55,3580,1891.18,16.15
Bongaigaon,56,13970,2320.04,3688,591.13,9808,7750.84,1490,1085.67,1007,4453.80,21,113.64,24785,14524.68,5199,1790.44,12.33
Cachar,160,50094,11206.04,8779,1881.29,63125,51621.80,11376,8148.49,1146,6515.36,82,500.55,114365,69343.20,20237,10530.33,15.19
Charaideo,35,5674,991.87,1527,304.01,3643,3247.59,449,552.13,195,1270.30,14,59.78,9512,5509.76,1990,915.92,16.62
Chirang,33,6653,1280.76,1055,233.57,7061,5681.65,1463,1447.62,142,776.45,16,90.89,13856,7738.86,2534,1772.08,22.90
Darrang,69,18448,3757.78,4248,950.42,15587,12567.20,3529,3045.95,792,4006.15,120,655.20,34827,20331.13,7897,4651.57,22.88
Dhemaji,45,8362,1520.07,1462,370.74,6793,6631.30,1038,1171.77,504,3180.01,70,383.69,15659,11331.38,2570,1926.20,17.00
Dhubri,87,26536,4393.15,5474,1191.38,27563,21374.33,7015,5634.19,702,4234.30,94,395.66,54801,30001.78,12583,7221.23,24.07
Dibrugarh,180,41278,7246.33,8297,1622.38,24424,21108.75,2792,2731.26,2078,11728.08,175,1285.16,67780,40083.16,11264,5638.80,14.07
Dima Hasao,29,1104,160.32,239,52.57,815,1250.84,77,98.56,115,623.77,3,17.43,2034,2034.93,319,168.56,8.28
Goalpara,67,16356,2954.39,4396,815.10,15489,11539.47,2799,2084.23,380,1623.55,20,67.35,32225,16117.41,7215,2966.68,18.41
Golaghat,115,25316,4681.40,3941,844.91,23450,18205.83,2303,2187.59,923,6318.80,142,879.26,49689,29206.03,6386,3911.76,13.39
Hailakandi,44,8422,1776.54,1504,351.56,13570,11038.46,2459,2010.76,348,2123.06,19,110.10,22340,14938.06,3982,2472.42,16.55
Hojai,58,10077,2247.63,1734,446.22,15142,13867.74,2282,2006.51,700,4409.75,66,385.58,25919,20525.12,4082,2838.31,13.83
Jorhat,135,32373,5583.43,6073,1197.03,18609,16240.63,2178,2119.48,1271,7359.49,314,757.59,52253,29183.55,8565,4074.10,13.96
Kamrup Metro,165,52938,9168.14,10028,1908.16,47701,33937.55,8222,6319.37,1292,6626.78,166,879.62,101931,49732.47,18416,9107.15,18.31
Karbi Anglong,65,4675,801.95,506,81.21,2566,3155.34,247,339.66,369,1951.16,23,135.18,7610,5908.45,776,556.05,9.41
Karimganj,87,25079,5150.43,5257,1085.06,32506,23653.78,5992,4749.90,588,3959.49,36,235.66,58173,32763.70,11285,6070.62,18.53
Kokrajhar,51,13890,2528.17,1494,328.38,8503,6688.71,1742,1673.14,225,1386.89,20,115.73,22618,10603.77,3256,2117.25,19.97
Lakhimpur,87,13413,2825.97,3288,786.28,16649,13847.55,2828,2809.07,660,3938.39,131,672.91,30722,20611.91,6247,4268.26,20.71
Majuli,13,1309,359.25,449,106.49,618,952.81,107,157.39,86,610.77,20,118.87,2013,1922.83,576,382.75,19.91
Morigaon,67,10191,2023.43,1702,506.07,16208,14076.65,2691,2868.44,788,5115.71,101,635.67,27187,21215.79,4494,4010.18,18.90
Nagaon,150,32967,5690.61,6060,1405.56,42664,32670.69,7959,6596.33,1522,8205.99,348,1788.89,77153,46567.29,14367,9790.78,21.03
Nalbari,84,19951,3623.29,4676,971.17,12936,11002.70,2119,2029.29,471,2580.84,46,289.77,33358,17206.83,6841,3290.23,19.12
Sivasagar,96,18836,3306.42,2991,651.27,15881,13172.65,1596,1399.75,851,4503.08,46,237.21,35568,20982.15,4633,2288.23,10.91
Sonitpur,123,26480,4689.85,5008,1000.04,27289,20753.51,3779,3201.59,1229,6748.20,90,472.47,54998,32191.56,8877,4674.10,14.52
South Salmara,11,220,47.28,103,22.36,820,1102.55,358,436.35,69,356.53,7,46.15,1109,1506.36,468,504.86,33.52
Tinsukia,147,20157,3718.99,4039,738.21,19065,17935.93,2027,2056.91,1685,10060.55,114,671.92,40907,31715.47,6180,3467.04,10.93
Udalguri,47,5452,1426.65,1144,338.14,4422,4932.11,1477,1997.13,173,1046.91,19,97.24,10047,7405.67,2640,2432.51,32.85
West Karbi Anglong,22,380,43.54,80,7.41,166,246.54,24,36.52,54,182.88,4,14.48,600,472.96,108,58.41,12.35
