district,Total Branch,Current Year No. of Female Account,Current Year Sum of Female Amount,Current Year No. of Male Account to SC,Current Year Sum of Male Amount to SC,Current Year No. of Male Account to ST,Current Year Sum of Male Amount to ST,Total Current Year SUI Disb No.,Total Current Year SUI Disb Amount,SUI O/S No.,SUI O/S Amt.,SUI NPA No.,SUI NPA Amt.,SUI NPA Amt. %
Baksa,53,2,10.23,0,0.00,1,22.77,3,33.00,7,46.12,0,0.00,0.00
Barpeta,123,10,254.37,1,0.00,2,72.00,13,326.37,65,1051.38,9,131.27,12.49
Biswanath,57,4,9.63,4,50.45,0,0.00,8,60.08,27,340.65,1,22.48,6.60
Bongaigaon,56,3,19.10,1,18.00,0,0.00,4,37.10,61,615.93,10,92.30,14.99
Cachar,160,7,199.28,0,0.00,1,35.00,8,234.28,60,770.01,6,56.19,7.30
Charaideo,35,1,0.00,0,0.00,0,0.00,1,0.00,16,249.52,0,0.00,0.00
Chirang,33,1,40.00,0,0.00,3,58.50,4,98.50,19,341.55,0,0.00,0.00
Darrang,69,1,15.00,0,0.00,2,40.18,3,55.18,35,494.34,6,48.08,9.73
Dhemaji,45,1,20.00,0,0.00,1,10.00,2,30.00,12,111.70,1,9.57,8.57
Dhubri,87,11,137.35,0,0.00,0,0.00,11,137.35,36,632.59,1,8.78,1.39
Dibrugarh,180,27,415.01,4,90.80,3,45.00,34,550.81,178,2695.26,11,174.25,6.47
Dima Hasao,29,0,0.00,0,0.00,0,0.00,0,0.00,9,84.81,0,0.00,0.00
Goalpara,67,3,66.30,1,9.00,2,10.10,6,85.40,23,225.85,3,15.71,6.96
Golaghat,115,2,15.04,1,19.31,0,0.00,3,34.35,60,773.40,2,19.70,2.55
Hailakandi,44,0,0.00,0,0.00,0,0.00,0,0.00,8,174.74,0,0.00,0.00
Hojai,58,11,157.09,0,0.00,0,0.00,11,157.09,28,367.15,1,4.62,1.26
Jorhat,135,5,114.64,3,56.54,0,0.00,8,171.18,61,700.04,8,46.57,6.65
KARIMGANJ,87,4,88.75,0,0.00,0,0.00,4,88.75,19,233.25,2,8.97,3.85
Kamrup,165,3,36.92,0,0.00,0,0.00,3,36.92,50,610.07,9,106.09,17.39
Kamrup Metro,419,56,1048.25,1,5.00,4,20.40,61,1073.65,437,6269.72,41,486.82,7.76
Karbi Anglong,65,3,49.71,0,0.00,2,28.20,5,77.91,25,418.50,2,8.29,1.98
Kokrajhar,51,6,45.98,0,0.00,3,25.94,9,71.92,14,256.96,1,20.39,7.94
Lakhimpur,87,3,25.15,1,0.81,3,0.81,7,26.77,45,533.62,10,75.83,14.21
Majuli,13,7,4.30,0,0.00,0,0.00,7,4.30,6,47.84,1,2.07,4.33
Morigaon,67,4,30.13,0,0.00,2,33.00,6,63.13,32,261.97,4,20.00,7.63
Nagaon,150,5,31.25,0,0.00,0,0.00,5,31.25,78,898.67,6,33.03,3.68
Nalbari,84,9,103.32,1,2.40,0,0.00,10,105.72,35,534.06,1,24.96,4.67
Sivasagar,96,12,162.10,0,0.00,0,0.00,12,162.10,54,596.84,5,76.10,12.75
Sonitpur,123,15,252.90,0,0.00,1,26.00,16,278.90,121,1616.38,7,43.11,2.67
South Salmara,11,1,0.00,0,0.00,0,0.00,1,0.00,1,0.00,0,0.00,0.00
Tinsukia,147,11,184.75,20,58.14,5,85.46,36,328.35,93,1554.96,1,1.10,0.07
Udalguri,47,2,60.28,0,0.00,0,0.00,2,60.28,10,185.61,2,21.49,11.58
West Karbi Anglong,22,0,0.00,0,0.00,1,11.50,1,11.50,3,40.30,0,0.00,0.00
