district,Total Branch,Number of operative CASA,Number of Aadhaar seeded CASA,Number of Authenticated CASA
Baksa,53,880558,116369,70957
Barpeta,123,2437415,347803,335112
Biswanath,57,725089,86201,75637
Bongaigaon,56,788172,70538,118177
Cachar,160,2012699,218124,575348
Charaideo,35,447569,36683,48420
Chirang,33,639566,76574,70255
Darrang,69,1302087,126694,166219
Dhemaji,45,1014441,70830,149669
Dhubri,87,2088365,217973,402376
Dibrugarh,180,1707525,173991,321813
Dima Hasao,29,192051,26793,30110
Goalpara,67,1214162,130764,141008
Golaghat,115,1444156,187163,361887
Hailakandi,44,822769,95885,232262
Hojai,58,912955,113796,240470
Jorhat,135,1328176,137875,385960
KARIMGANJ,87,1321360,181385,385563
Kamrup,165,1976164,286175,234742
Kamrup Metro,419,2586028,456945,432157
Karbi Anglong,65,651575,73654,43113
Kokrajhar,51,965622,130195,120709
Lakhimpur,87,1276665,138158,264248
Majuli,13,184560,25247,34487
Morigaon,67,1288714,184031,506401
Nagaon,150,2793667,521665,779958
Nalbari,84,1044052,153489,100059
Sivasagar,96,1034659,123697,301534
Sonitpur,123,1504171,258638,280983
South Salmara,11,305307,52260,48046
Tinsukia,147,1415246,165488,422271
Udalguri,47,1053633,104484,80767
West Karbi Anglong,22,230891,25099,17742
