District,Total Branch,Micro No.,Micro Amt,Small No.,Small Amt,Medium No.,Medium Amt,Other MSME No.,Other MSME Amt,MSME Total O/S No.,MSME Total O/S Amt
Baksa,53,15726,13677.66,126,2453.45,19,615.31,1111,702.19,16982,17448.61
Barpeta,123,31596,49590.71,1016,15009.56,104,1948.35,1483,585.31,34199,67133.93
Biswanath,57,12286,13456.22,394,6115.36,49,3044.49,1365,811.42,14094,23427.49
Bongaigaon,56,13894,26257.14,1025,16777.29,66,4060.17,1507,641.57,16492,47736.17
Cachar,160,34892,70625.00,1771,33000.16,93,6634.98,1200,1259.82,37956,111519.96
Charaideo,35,5373,8778.67,137,2269.31,4,49.43,24,29.05,5538,11126.46
Chirang,33,9139,9620.00,129,2251.42,26,1456.87,842,583.16,10136,13911.45
Darrang,69,15533,23974.68,474,8303.54,17,1097.72,713,461.45,16737,33837.39
Dhemaji,45,17936,16437.13,381,5471.86,1,9.61,708,433.41,19026,22352.01
Dhubri,87,18047,22744.95,575,10159.21,10,694.59,116,128.78,18748,33727.53
Dibrugarh,180,43128,95423.81,2490,73701.94,199,9097.43,1144,651.19,46961,178874.37
Dima Hasao,29,2677,3785.45,83,474.27,12,0.00,80,126.58,2852,4386.30
Goalpara,67,18442,17396.96,284,8226.28,9,415.36,466,445.78,19201,26484.38
Golaghat,115,19670,30780.00,1171,18962.69,27,2341.61,2027,1180.28,22895,53264.58
Hailakandi,44,7821,12377.27,273,5636.67,9,358.08,375,293.96,8478,18665.98
Hojai,58,14066,16380.66,461,5470.88,25,8.38,158,202.25,14710,22062.17
Jorhat,135,28225,66253.25,1529,42251.89,162,17547.39,1311,868.90,31227,126921.43
Kamrup Metro,165,41591,67272.88,1839,27973.05,190,7605.80,2117,1575.98,45737,104427.71
Karbi Anglong,65,13116,10678.83,137,2231.63,6,91.58,69,49.84,13328,13051.88
Karimganj,87,13767,22684.76,527,6482.83,38,944.34,1498,1427.18,15830,31539.11
Kokrajhar,51,8504,12250.46,224,6234.29,12,105.52,203,178.19,8943,18768.46
Lakhimpur,87,30921,37331.12,930,15989.08,22,539.89,5366,3415.77,37239,57275.86
Majuli,13,2951,5091.42,51,640.64,0,0.00,515,361.76,3517,6093.82
Morigaon,67,13696,20673.96,326,4066.30,11,924.55,820,468.64,14853,26133.45
Nagaon,150,25611,49915.37,1479,25763.32,101,5330.04,667,455.97,27858,81464.70
Nalbari,84,17431,24506.22,426,8685.80,22,43.83,838,646.34,18717,33882.19
Sivasagar,96,20887,38438.35,1233,26074.41,46,5634.80,974,597.58,23140,70745.14
Sonitpur,123,25157,53767.60,1686,29727.60,174,6061.07,737,726.75,27754,90283.02
South Salmara,11,1532,2786.64,19,294.91,22,0.00,31,103.90,1604,3185.45
Tinsukia,147,27428,71694.92,1720,43115.86,83,6756.04,726,654.12,29957,122220.94
Udalguri,47,12829,13057.83,69,1000.66,20,1.02,915,911.10,13833,14970.61
West Karbi Anglong,22,1726,680.07,5,48.93,11,10.36,3,0.60,1745,739.96
