District,Total Branch,Micro No.,Micro Amt,Small No.,Small Amt,Medium No.,Medium Amt,KVIC No.,KVIC Amt,Other Msme No.,Other Msme Amt,Tot Msme (PS) NPA No.,Tot Msme (PS) NPA Amt
Baksa,53,4463,3356.53,21,34.23,0,0.00,658,844.19,29,12.24,5171,4247.19
Barpeta,123,7633,8114.78,102,424.70,1,2.00,264,436.02,59,20.56,8059,8998.06
Biswanath,57,2784,1793.54,39,164.56,1,7.00,88,130.59,31,15.29,2943,2110.98
Bongaigaon,56,1644,1528.31,61,508.19,2,97.00,283,403.02,27,12.37,2017,2548.89
Cachar,160,5072,7293.13,111,1393.23,4,54.00,218,348.11,12,8.18,5417,9096.65
Charaideo,35,1631,1540.95,13,305.28,0,0.00,88,182.56,2,0.45,1734,2029.24
Chirang,33,1959,1922.38,19,42.07,0,0.00,844,968.51,6,5.41,2828,2938.37
Darrang,69,4096,4845.92,56,462.41,2,5.02,404,628.34,82,60.85,4640,6002.54
Dhemaji,45,2322,2345.65,50,690.51,0,0.00,161,245.73,8,7.69,2541,3289.58
Dhubri,87,4908,3548.47,42,211.54,1,6.00,495,594.51,13,4.42,5459,4364.94
Dibrugarh,180,9186,9293.30,283,4809.44,5,185.29,251,395.31,116,48.47,9841,14731.81
Dima Hasao,29,211,167.52,7,14.00,0,0.00,11,20.77,1,3.75,230,206.04
Goalpara,67,4639,3941.20,16,250.53,0,0.00,365,476.16,30,16.43,5050,4684.32
Golaghat,115,4479,3846.18,152,971.35,5,7.97,154,235.76,175,29.55,4965,5090.81
Hailakandi,44,1538,1585.06,36,292.88,0,0.00,235,339.17,4,1.01,1813,2218.12
Hojai,58,2233,1565.70,46,325.67,0,0.00,12,18.02,17,2.97,2308,1912.36
Jorhat,135,5886,4675.40,160,2931.70,6,633.09,136,179.28,195,54.69,6383,8474.16
Kamrup Metro,165,9177,9413.96,165,517.23,26,392.09,560,993.13,71,30.47,9999,11346.88
Karbi Anglong,65,1160,1003.99,3,7.33,0,0.00,99,25.35,8,3.62,1270,1040.29
Karimganj,87,4012,2787.03,46,576.90,1,61.90,134,233.45,85,32.18,4278,3691.46
Kokrajhar,51,2867,2706.73,36,180.47,3,97.14,841,1025.27,0,0.00,3747,4009.61
Lakhimpur,87,5130,5431.13,95,993.84,2,43.00,129,220.69,137,67.85,5493,6756.51
Majuli,13,562,499.57,3,49.00,0,0.00,24,21.94,37,13.67,626,584.18
Morigaon,67,2763,3293.54,20,133.43,1,22.00,260,399.50,46,6.04,3090,3854.51
Nagaon,150,5691,8303.31,149,1763.51,1,20.00,389,585.02,68,17.41,6298,10689.25
Nalbari,84,5349,4883.22,59,740.44,0,0.00,529,906.17,32,13.36,5969,6543.19
Sivasagar,96,4467,3903.30,101,825.86,3,5.36,145,286.31,117,22.10,4833,5042.93
Sonitpur,123,5643,5619.91,149,1831.50,8,155.84,376,668.93,42,19.82,6218,8296.00
South Salmara,11,810,1020.78,2,5.05,0,0.00,183,311.85,0,0.00,995,1337.68
Tinsukia,147,4545,5117.65,129,1098.19,1,70.00,234,350.15,57,41.49,4966,6677.48
Udalguri,47,4993,5476.74,9,66.83,0,0.00,635,1103.27,15,12.50,5652,6659.34
West Karbi Anglong,22,560,138.61,0,0.00,0,0.00,1,0.06,0,0.00,561,138.67
