District,Total Branch,NRLM O/S No.,NRLM O/S Amt,NRLM Irregular A/C No.,NRLM Irregular A/C Amt,NRLM NPA No.,NRLM NPA AMT,NULM O/S No.,NULM O/S Amt,NULM NPA No.,NULM NPA AMT,PMEGP O/S No.,PMEGP O/S Amt,PMEGP NPA No.,PMEGP NPA AMT,SHG O/S No.,SHG O/S Amt,SHG NPA No.,SHG NPA AMT,SUI O/S No.,SUI O/S Amt,SUI NPA No.,SUI NPA AMT
Baksa,53,4279,6935.60,218,487.74,132,115.03,39,28.09,6,1.19,1208,1804.31,856,1133.50,5103,7278.08,1125,559.39,7,46.12,0,0.00
Barpeta,123,5982,7475.53,336,525.20,532,353.64,638,526.89,226,68.36,1803,3523.08,843,1365.80,8748,10328.40,1608,1128.12,65,1051.38,9,131.27
Biswanath,57,5671,8138.62,772,830.29,228,233.34,47,63.07,1,0.42,414,660.19,166,209.65,7241,8368.30,1819,1003.72,27,340.65,1,22.48
Bongaigaon,56,2745,3598.87,205,260.63,55,32.06,65,56.34,26,10.99,692,926.54,389,494.18,3818,5117.72,249,116.43,61,615.93,10,92.30
Cachar,160,3393,4356.23,393,474.99,143,110.75,207,293.75,16,7.77,1785,2684.52,597,907.95,5664,5796.93,1181,725.20,60,770.01,6,56.19
Charaideo,35,2474,3021.74,203,211.74,129,57.64,2,3.73,0,0.00,301,494.91,182,299.54,3104,3470.54,316,177.45,16,249.52,0,0.00
Chirang,33,3156,4310.20,244,231.42,131,84.94,39,39.94,4,3.21,1432,1773.17,1203,1387.53,3253,4217.12,650,497.53,19,341.55,0,0.00
Darrang,69,3828,5540.09,247,313.11,200,195.21,116,202.25,4,3.99,912,1507.61,587,854.65,5682,6807.25,1275,996.23,35,494.34,6,48.08
Dhemaji,45,4867,7183.66,689,772.25,218,86.19,11,16.21,2,1.51,948,2176.32,378,683.92,6721,8761.02,1013,428.78,12,111.70,1,9.57
Dhubri,87,5241,5410.57,417,302.72,376,154.14,229,139.58,196,108.84,1888,2722.30,1104,1317.79,7605,7278.69,1566,745.36,36,632.59,1,8.78
Dibrugarh,180,5269,7144.58,315,483.30,226,87.81,316,597.26,36,20.34,1510,2821.26,645,1004.07,8401,10331.24,518,244.87,178,2695.26,11,174.25
Dima Hasao,29,596,814.39,281,269.84,6,4.20,24,24.68,1,1.82,248,444.86,56,68.95,866,998.27,85,29.04,9,84.81,0,0.00
Goalpara,67,4216,5227.68,435,619.19,171,87.03,57,47.29,2,1.41,1050,1230.92,613,767.44,6317,6973.51,1072,570.52,23,225.85,3,15.71
Golaghat,115,5692,10274.06,471,618.12,144,116.33,80,120.43,15,10.03,1220,1788.44,528,780.45,8237,13187.27,627,345.41,60,773.40,2,19.70
Hailakandi,44,1913,2304.65,174,127.74,136,66.11,192,198.01,15,18.81,759,1272.26,356,496.99,2648,2528.73,619,326.51,8,174.74,0,0.00
Hojai,58,2089,2677.15,204,151.08,152,104.38,103,79.70,0,0.00,658,854.76,188,216.14,3013,3377.43,508,352.18,28,367.15,1,4.62
Jorhat,135,4357,7530.34,321,473.88,77,70.63,618,1288.87,14,6.69,1019,1511.04,413,515.41,6620,10096.81,548,402.12,60,687.04,8,46.57
Kamrup Metro,165,7759,11310.37,343,444.89,620,584.16,228,250.22,17,11.32,1545,2368.82,873,1114.08,10455,13256.60,1940,1293.74,50,610.07,9,106.09
Karbi Anglong,65,3535,5984.77,1312,2187.22,19,15.10,21,33.23,1,1.84,389,462.24,163,97.30,5184,6856.52,575,154.05,25,418.50,2,8.29
Karimganj,87,2123,2339.18,250,259.49,132,74.82,117,118.39,39,11.87,848,1447.05,294,441.89,3749,3042.18,1313,608.31,19,233.25,2,8.97
Kokrajhar,51,2958,2888.29,157,144.41,90,52.15,67,79.14,10,12.71,1748,2251.97,1438,1728.67,3811,3767.35,581,568.26,14,256.96,1,20.39
Lakhimpur,87,6089,8142.78,663,947.76,331,184.91,98,108.83,10,2.97,1270,2558.04,537,1007.14,8599,10480.10,1077,580.64,45,533.62,10,75.83
Majuli,13,996,1680.71,112,158.92,30,20.46,0,0.00,0,0.00,187,234.12,71,70.97,1237,1787.40,232,106.78,6,47.84,1,2.07
Morigaon,67,2955,3908.30,210,328.70,390,275.71,264,259.68,58,14.32,841,1283.89,472,641.68,5680,5885.97,1983,1081.86,32,261.97,4,20.00
Nagaon,150,7220,11055.53,583,613.19,357,228.70,145,341.79,9,3.33,1688,3082.79,779,1124.89,10897,14525.02,1232,750.34,78,898.67,6,33.03
