district,Total Branch,KCCs for AH and Allied Activities No,KCCs for AH and Allied Activities Amt,Farm Production A/C,Farm Production amt,Dairy no,Dairy Amt,Farm Mech No,Farm Mech Amt,Poultry No,Poultry Amt,fisheries no,fisheries Amt,Godown No,Godown Amt,Clinic No,Clinic Amt,Other No,Other Amt,Total IC- Agri Disb No.,Total IC- Agri Disb Amt.
Baksa,53,76,23.60,0,0.00,26,21.20,435,116.36,16,13.88,6,9.66,0,0.00,0,0.00,198,214.02,757,398.72
Barpeta,123,259,155.47,0,0.00,362,406.77,6933,2131.06,221,201.87,93,42.94,0,0.00,0,0.00,1611,3134.52,9479,6072.63
Biswanath,57,135,132.86,0,0.00,10,12.98,185,49.70,27,22.57,1,0.00,0,0.00,3,4.50,254,734.62,615,957.23
Bongaigaon,56,29,15.56,0,0.00,378,364.02,3029,662.33,61,56.21,12,5.36,1,0.13,0,0.00,532,837.79,4042,1941.40
Cachar,160,82,30.29,8,8.18,255,283.55,1055,199.09,73,107.02,88,169.09,0,0.00,25,150.00,999,1713.72,2585,2660.94
Charaideo,35,57,57.82,3,18.00,3,3.72,1,0.00,30,68.07,0,0.00,0,0.00,0,0.00,21,26.65,115,174.26
Chirang,33,43,6.89,1,0.00,4,12.79,0,0.00,10,12.34,77,21.85,1,2.00,5,10.85,26,37.21,167,103.93
Darrang,69,152,129.82,0,0.00,137,189.49,2228,709.94,31,34.96,41,129.87,0,0.00,0,0.00,514,2869.76,3103,4063.84
Dhemaji,45,68,63.51,0,0.00,22,14.12,3304,1009.66,71,32.81,1,4.50,0,0.00,0,0.00,949,914.86,4415,2039.46
Dhubri,87,181,22.96,1,1.00,43,10.03,1063,214.24,54,46.86,12,2.65,1,39.30,0,0.00,663,760.72,2018,1097.76
Dibrugarh,180,140,51.78,2,1.15,336,305.22,3655,773.61,115,94.82,39,17.28,0,0.00,8,48.00,1538,5527.11,5833,6818.97
Dima Hasao,29,34,25.99,1,0.12,2,2.27,0,0.00,1,1.00,4,1.95,0,0.00,0,0.00,51,54.50,93,85.83
Goalpara,67,164,0.99,1,2.00,92,34.59,1553,281.74,78,32.69,530,151.14,0,0.00,0,0.00,175,181.02,2593,684.17
Golaghat,115,56,64.87,0,0.00,29,31.06,4475,1254.36,38,54.07,4,0.49,0,0.00,4,24.00,1265,3878.94,5871,5307.79
Hailakandi,44,31,28.93,0,0.00,84,107.27,2,1.00,66,87.36,1,0.00,0,0.00,9,25.25,294,433.70,487,683.51
Hojai,58,46,28.97,0,0.00,18,42.65,982,231.45,3,0.64,0,0.00,1,0.50,4,6.25,345,566.70,1399,877.16
Jorhat,135,75,53.91,2,5.84,148,102.57,1686,444.61,33,38.78,8,5.83,0,0.00,6,14.75,843,7099.42,2801,7765.71
Kamrup Metro,165,178,153.13,8,2.82,1655,788.00,9348,2529.51,266,376.22,129,78.79,0,0.00,3,2.10,2039,2844.86,13626,6775.43
Karbi Anglong,65,64,28.36,0,0.00,18,16.44,783,231.92,21,18.88,12,7.36,0,0.00,0,0.00,276,1040.43,1174,1343.39
Karimganj,87,39,51.36,0,0.00,29,27.62,187,48.45,13,9.30,17,43.72,0,0.00,9,9.89,196,473.27,490,663.61
Kokrajhar,51,130,17.90,0,0.00,129,104.70,278,42.67,78,68.68,28,348.65,0,0.00,1,0.82,231,215.05,875,798.47
Lakhimpur,87,89,48.14,6,5.05,75,94.33,5794,1439.40,103,232.86,71,90.49,0,0.00,9,10.19,1401,1020.90,7548,2941.36
Majuli,13,19,7.96,0,0.00,0,0.00,0,0.00,1,1.00,2,3.00,0,0.00,0,0.00,8,5.53,30,17.49
Morigaon,67,299,162.68,0,0.00,223,270.01,1712,533.05,30,21.67,68,86.14,0,0.00,8,15.17,455,596.75,2795,1685.47
Nagaon,150,304,230.61,7,24.50,122,117.99,9188,2231.43,84,71.62,14,189.34,0,0.00,42,295.80,1391,1225.75,11152,4387.04
Nalbari,84,273,46.47,0,0.00,116,107.12,7304,1830.32,175,91.18,7,4.80,0,0.00,2,3.50,674,879.25,8551,2962.64
Sivasagar,96,149,89.82,0,0.00,239,133.61,3008,636.14,460,567.38,10,5.75,0,0.00,6,5.70,626,1128.95,4498,2567.35
Sonitpur,123,349,168.36,17,13.24,49,36.66,3185,808.60,238,174.76,14,11.24,0,0.00,11,6.00,753,2716.57,4616,3935.43
South Salmara,11,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2,0.16,2,0.16
Tinsukia,147,224,233.01,1,0.75,269,313.95,7009,1700.12,53,185.48,3,0.72,0,0.00,7,266.61,700,7294.03,8266,9994.67
Udalguri,47,131,125.26,0,0.00,3,9.44,5,0.84,131,107.52,4,28.52,0,0.00,0,0.00,21,17.34,295,288.92
West Karbi Anglong,22,2,3.25,0,0.00,4,7.22,0,0.00,1,3.43,0,0.00,0,0.00,0,0.00,21,30.42,28,44.32
