District,Total No. of Camps (FY),No of rural branches in district,No. of Camps Conducted
Baksa,101,51,59
Barpeta,91,62,60
Biswanath,55,35,30
Bongaigaon,36,21,29
Cachar,39,88,18
Charaideo,56,21,29
Chirang,7,23,3
Darrang,3,39,2
Dhemaji,43,22,24
Dhubri,47,41,24
Dibrugarh,11,92,7
Dima Hasao,99,57,54
Goalpara,29,13,24
Golaghat,296,40,222
Hailakandi,8,69,8
Hojai,32,19,16
Jorhat,49,20,28
Kamrup Metro,126,55,80
Karbi Anglong,12,35,10
Karimganj,42,39,10
Kokrajhar,46,53,25
Lakhimpur,16,31,8
Majuli,31,52,16
Morigaon,7,12,7
Nagaon,12,41,8
Nalbari,28,91,14
Sivasagar,52,50,14
Sonitpur,104,60,89
South Salmara,11,7,11
Tinsukia,18,55,6
Udalguri,18,30,9
West Karbi Anglong,11,22,0
