district,Total Branch,Housing Loan (PS) O/S No,Housing Loan (PS) O/S Amount,Housing Loan (NPS) O/S No,Housing Loan (NPS) O/S Amount,Rural Housing Loan O/S No,Rural Housing Loan O/S Amount,Housing Loan Eligible under PMAY O/S No,Housing Loan Eligible under PMAY O/S Amount,Current Year Disbursed under PMAY No,Current Year Disbursed under PMAY Amount,PMAY O/S No,PMAY O/S Amount
Baksa,53,1007,8809.28,469,1922.05,754,2348.68,5,50.01,0,0.00,5,51.62
Barpeta,123,3318,29443.01,2314,12911.87,306,734.34,15,195.34,0,0.00,24,254.69
Biswanath,57,1393,11072.94,815,4307.93,84,407.75,12,188.93,0,0.00,14,210.51
Bongaigaon,56,4375,16186.13,1884,15091.21,102,392.52,49,509.47,0,0.00,52,588.31
Cachar,160,3922,25840.60,2459,17522.02,139,795.43,101,1087.63,0,0.00,104,1151.52
Charaideo,35,410,3399.87,287,1669.87,170,279.17,1,10.13,0,0.00,1,10.16
Chirang,33,368,3741.13,304,1632.91,588,170.87,0,0.00,0,0.00,0,0.00
Darrang,69,1622,13393.93,1431,8434.58,560,587.44,10,105.06,0,0.00,12,112.31
Dhemaji,45,1653,14761.54,1455,4303.03,426,570.98,12,122.52,0,0.00,22,214.48
Dhubri,87,2227,18897.18,1775,6823.27,221,430.61,44,345.86,0,0.00,47,382.40
Dibrugarh,180,4540,39077.88,4360,36785.45,876,3919.27,67,840.85,0,0.00,75,915.33
Dima Hasao,29,551,3455.43,133,864.59,158,727.59,0,0.00,0,0.00,1,7.25
Goalpara,67,1023,9627.28,880,3236.74,105,409.60,5,44.85,0,0.00,8,59.08
Golaghat,115,4907,18821.84,2301,12499.86,653,1900.09,19,163.67,0,0.00,18,169.09
Hailakandi,44,969,6845.58,642,1792.62,51,114.73,18,143.63,4,20.00,39,446.09
Hojai,58,900,7566.64,730,3038.41,1248,384.21,14,131.91,0,0.00,18,179.18
Jorhat,135,6929,37103.35,5663,40978.76,6307,1588.32,33,420.43,8,35.50,139,2100.77
Kamrup Metro,165,6743,31324.12,3128,29796.54,1730,5887.64,48,529.01,2,8.20,85,1118.38
Karbi Anglong,65,2293,22358.44,745,4795.51,1241,12184.52,1,10.13,1,5.50,5,37.05
Karimganj,87,1284,6706.69,464,3737.44,419,676.86,22,214.74,0,0.00,25,258.61
Kokrajhar,51,1056,10859.74,912,7980.19,361,335.34,3,23.60,0,0.00,4,35.50
Lakhimpur,87,3334,27157.49,1905,11824.58,700,1049.43,50,535.38,0,0.00,48,540.40
Majuli,13,282,1802.44,81,204.90,84,18.99,9,97.06,0,0.00,10,100.59
Morigaon,67,1674,11404.61,473,3215.10,704,3761.26,45,455.06,0,0.00,47,527.41
Nagaon,150,6623,31903.04,2817,16283.49,612,1560.02,71,680.59,0,0.00,72,732.11
Nalbari,84,2775,22846.27,2416,13333.06,649,3593.37,11,93.09,0,0.00,14,121.47
Sivasagar,96,5423,22356.40,2470,15869.47,559,5490.70,20,315.20,0,0.00,31,508.92
Sonitpur,123,3625,30404.88,3523,29411.52,432,1600.37,39,323.77,0,0.00,64,612.15
South Salmara,11,269,2695.11,235,148.28,115,1047.68,0,0.00,0,0.00,0,0.00
Tinsukia,147,3058,25652.16,2453,22469.97,892,885.66,49,456.02,0,0.00,53,535.71
Udalguri,47,1687,16478.87,1702,1912.35,246,212.82,3,23.39,0,0.00,3,23.39
West Karbi Anglong,22,570,6059.67,90,202.39,581,6184.22,0,0.00,0,0.00,0,0.00
