District,Bob,Boi,Bom,Can,Cbi,Ind,Iob,Pnb,Psb,Sbi,Uco,Uni,BAND,Fed,Hdfc,Icici,INDUS,Idbi,Kbl,Kmb,Nesfb,Sib,Yes,Agvb,Acab,District Wise Target
Baksa,0,4,0,8,11,3,0,6,0,29,20,3,0,0,2,0,0,0,0,0,2,0,0,32,0,120
Barpeta,7,4,0,19,11,7,10,23,0,82,23,42,1,0,6,0,2,2,0,0,1,0,0,41,2,283
Biswanath,0,2,0,2,2,12,0,8,0,13,9,0,1,0,1,0,0,0,0,0,1,0,0,23,2,76
Bongaigaon,5,4,3,6,3,5,4,13,0,26,5,3,1,3,2,0,2,2,0,0,0,0,0,12,1,100
Cachar,6,12,0,7,15,8,3,44,2,59,12,6,2,4,2,1,1,2,0,0,1,0,2,31,1,221
Charaideo,0,0,0,2,0,0,0,12,0,17,2,0,0,0,1,0,1,1,0,0,0,0,0,16,0,52
Chirang,0,0,0,3,5,3,0,4,0,14,8,0,0,0,2,0,2,0,0,0,0,0,0,16,0,57
Darrang,7,2,0,8,11,5,0,10,0,22,7,5,1,0,3,0,0,1,0,0,1,0,0,28,1,112
Dhemaji,0,0,0,3,3,12,0,8,0,24,9,0,0,0,2,0,0,3,0,0,1,0,0,19,1,85
Dhubri,0,0,0,4,4,12,0,15,4,73,29,7,2,0,2,0,3,2,0,0,1,0,0,28,1,187
Dibrugarh,5,5,3,12,11,22,7,21,1,52,9,6,2,1,3,1,3,1,0,2,2,0,1,14,2,186
Dima Hasao,1,4,0,1,1,0,0,2,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1,28
Goalpara,0,4,0,3,18,3,0,9,0,29,26,3,1,0,3,0,0,2,0,0,1,0,0,23,2,127
Golaghat,5,2,0,4,4,17,3,20,0,26,2,2,2,0,4,1,3,1,0,0,1,0,0,32,2,131
Hailakandi,3,4,0,3,5,3,0,11,0,23,3,8,0,0,2,0,2,0,0,0,0,0,0,17,1,85
Hojai,0,0,0,7,3,6,0,33,0,33,6,6,1,0,2,0,0,2,0,0,1,0,0,16,1,117
Jorhat,6,1,1,10,4,6,1,17,3,37,4,6,1,1,3,0,2,2,0,2,1,0,1,13,1,123
Kamrup Metro,6,5,0,15,31,15,14,21,2,44,14,6,2,0,5,0,0,0,0,0,3,2,0,24,2,211
Karbi Anglong,2,2,0,2,3,0,0,2,0,19,3,0,0,0,1,0,1,1,0,0,1,0,0,37,1,75
Karimganj,0,4,0,7,12,8,0,34,0,36,3,3,1,0,3,0,2,2,0,0,0,0,0,33,2,150
Kokrajhar,3,4,0,3,6,6,0,5,0,32,22,3,1,0,3,0,0,0,0,0,0,0,0,23,1,112
Lakhimpur,4,2,0,2,2,17,3,26,0,32,2,2,1,0,1,0,1,1,0,0,1,0,0,28,2,127
Majuli,0,0,0,2,0,0,0,7,0,6,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,21
Morigaon,3,4,0,10,3,3,4,23,0,17,6,9,1,0,3,0,0,0,0,0,1,0,0,26,1,114
Nagaon,8,9,4,25,20,16,5,58,4,87,4,8,2,0,6,0,3,2,0,0,2,0,4,79,2,348
Nalbari,2,6,0,3,13,2,3,7,0,24,10,3,1,0,2,0,1,1,0,0,1,0,0,20,1,100
Sivasagar,3,4,1,7,1,6,1,13,0,30,4,3,1,0,2,0,1,1,0,0,1,0,1,12,1,93
Sonitpur,5,2,2,6,10,6,4,15,2,36,14,3,1,2,3,1,1,2,0,0,1,0,2,18,2,138
South Salmara,0,0,0,8,0,0,0,0,0,20,36,0,0,0,0,0,0,0,0,0,0,0,0,10,0,74
Tinsukia,6,6,3,7,10,12,4,30,2,37,9,18,1,2,5,1,2,1,0,0,1,0,2,14,2,175
Udalguri,0,4,0,3,14,0,0,3,0,33,16,3,0,0,3,0,0,0,0,0,1,0,0,25,1,106
West Karbi Anglong,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,21,0,33
