district,Total Branch,Micro TL A/C,Micro TL Amt,Micro WC A/C,Micro WC Amt,Small TL A/C,Small TL Amt,Small WC A/C,Small WC Amt,Mediu m TL A/C,Medium TL Amt,Medi um WC A/C,Medium WC Amt,KVIC TL A/C,KVIC TL Amt,KVIC WC A/C,KVIC WC Amt,Others under MSMEs A/C,Others under MSMEs Amt,Tot MSME (PS) Disb No.,Tot MSME (PS) Disb Amt
Baksa,53,1663,2386.95,101,544.73,5,209.82,5,530.97,0,0.00,1,1500.00,0,0.00,0,0.00,406,389.06,2181,5561.53
Barpeta,123,3343,8043.59,571,12386.23,62,2310.25,45,4514.95,22,338.01,4,991.55,20,187.64,2,12.65,62,356.38,4131,29141.25
Biswanath,57,1955,5206.13,124,1002.34,47,1319.10,13,560.77,1,41.77,1,13.92,10,40.42,0,0.00,394,297.51,2545,8481.96
Bongaigaon,56,1196,5553.53,167,3251.62,34,3055.26,26,3101.33,12,514.47,2,176.70,0,0.00,0,0.00,227,251.88,1664,15904.79
Cachar,160,2814,10463.57,588,6536.51,101,8527.76,72,7482.69,19,1945.32,12,900.34,36,173.29,0,0.00,459,681.22,4101,36710.70
Charaideo,35,641,1187.27,99,367.13,5,128.34,8,145.20,0,0.00,0,0.00,0,0.00,0,0.00,20,30.17,773,1858.11
Chirang,33,652,1419.22,63,508.91,10,1129.26,1,311.03,0,0.00,0,0.00,2,9.48,0,0.00,250,257.52,978,3635.42
Darrang,69,1349,3530.56,203,3683.43,25,644.51,21,741.15,2,6.15,3,26.25,2,5.60,1,2.00,305,289.61,1911,8929.26
Dhemaji,45,2776,3904.60,212,1012.54,30,279.61,15,623.72,0,0.00,0,0.00,4,9.59,0,0.00,270,363.95,3307,6194.01
Dhubri,87,1794,5164.63,154,2160.55,35,1965.55,19,2078.35,2,3.39,1,0.51,0,0.00,0,0.00,25,151.59,2030,11524.57
Dibrugarh,180,5992,26063.86,687,10918.52,288,17591.47,128,11333.30,48,3137.03,3,544.05,22,173.96,1,6.76,335,1476.66,7504,71245.61
Dima Hasao,29,272,511.22,47,250.00,2,10.75,0,0.00,0,0.00,0,0.00,3,7.37,0,0.00,80,129.45,404,908.79
Goalpara,67,1412,2369.43,263,1214.44,17,2354.82,20,1297.77,0,0.00,7,1193.82,6,19.95,0,0.00,114,204.56,1839,8654.79
Golaghat,115,2090,6694.44,370,1837.19,97,2919.46,22,2037.50,17,317.73,0,0.00,5,12.01,0,0.00,623,533.24,3224,14351.57
Hailakandi,44,643,1845.15,154,2259.82,5,459.21,29,2468.92,3,5.25,0,0.00,3,2.72,3,11.88,88,135.86,928,7188.81
Hojai,58,1461,4644.11,300,3804.26,32,1675.43,13,618.58,0,0.00,1,4.88,5,22.90,0,0.00,16,136.56,1828,10906.72
Jorhat,135,3232,11613.62,487,7691.90,126,9037.67,58,4938.16,30,9147.04,9,1578.18,1,6.04,0,0.00,609,1150.54,4552,45163.15
KARIMGANJ,87,918,3489.67,291,2974.90,37,1918.24,20,628.97,0,0.00,0,0.00,14,42.62,0,0.00,643,747.06,1923,9801.46
Kamrup,165,5195,10338.10,599,5471.17,115,4106.83,78,5889.68,3,96.00,3,133.50,56,169.11,1,0.50,482,619.36,6532,26824.25
Kamrup Metro,419,6568,91908.69,2061,82946.14,867,97557.40,658,87019.21,253,74106.24,108,48578.26,27,244.30,6,56.66,437,6319.74,10985,488736.64
Karbi Anglong,65,1490,2881.60,159,959.29,3,127.50,4,224.31,0,0.00,0,0.00,8,28.15,0,0.00,20,33.58,1684,4254.43
Kokrajhar,51,913,2491.51,88,1379.51,19,411.58,10,1592.40,2,8.38,1,0.32,0,0.00,0,0.00,15,53.90,1048,5937.60
Lakhimpur,87,3814,7545.30,263,3169.78,33,1710.27,36,3657.63,3,536.25,3,569.41,16,142.88,0,0.00,1678,1663.01,5846,18994.53
Majuli,13,485,602.44,66,381.08,1,37.00,1,2.00,0,0.00,0,0.00,0,0.00,0,0.00,175,177.60,728,1200.12
Morigaon,67,1414,2602.30,120,1865.56,5,165.23,17,2028.80,0,0.00,2,800.00,4,32.84,0,0.00,382,295.17,1944,7789.90
Nagaon,150,2309,9376.13,439,6064.51,64,5670.70,51,4213.25,11,1215.63,1,100.00,9,46.96,3,24.49,263,336.87,3150,27048.54
Nalbari,84,1422,4140.30,243,3338.97,37,1350.74,25,1946.79,0,0.00,1,2000.00,10,23.20,1,1.85,141,202.02,1880,13003.87
Sivasagar,96,2909,11450.90,537,4570.60,118,5703.67,61,3898.72,10,2451.09,4,420.00,5,11.17,0,0.00,90,401.32,3734,28907.47
Sonitpur,123,2139,8506.54,523,5053.61,66,7964.56,58,6619.53,33,1729.52,6,765.05,19,57.99,1,5.72,289,520.97,3134,31223.49
South Salmara,11,95,347.85,13,12.39,1,85.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,109,445.24
Tinsukia,147,2746,23558.73,727,10952.74,126,13613.76,107,10128.24,12,2220.60,9,2086.35,9,86.01,0,0.00,119,326.76,3855,62973.19
Udalguri,47,657,1145.92,94,723.60,7,79.50,5,125.99,0,0.00,1,0.40,2,2.69,0,0.00,342,356.98,1108,2435.08
West Karbi Anglong,22,158,202.86,15,12.13,0,0.00,0,0.00,6,7.32,0,0.18,0,0.00,0,0.00,2,5.90,181,228.39
