district,Total Branch,SC Disb No,SC Disb Amt,SC O/S No,SC O/S Amt,ST Disb No,ST Disb Amt,ST O/S No,ST O/S Amt
Baksa,53,363,825.58,4507,5036.25,1685,4296.35,16993,25025.04
Barpeta,123,1548,6276.61,16051,11339.69,540,1982.88,7072,10296.55
Biswanath,57,648,1048.59,8853,6998.70,816,941.48,12561,8422.69
Bongaigaon,56,1407,9408.87,8579,9412.29,520,2616.15,5831,12897.17
Cachar,160,4098,9741.38,47946,33772.40,447,1664.81,9086,11727.08
Charaideo,35,96,185.34,1620,1427.86,124,352.24,1395,1760.74
Chirang,33,478,665.85,3858,3650.87,1448,5448.83,16018,24429.50
Darrang,69,298,665.06,4463,3841.47,240,701.68,3161,4094.47
Dhemaji,45,450,958.41,5655,6134.46,4005,9327.53,25242,39267.03
Dhubri,87,547,1167.15,9952,7948.93,270,658.07,3142,4071.71
Dibrugarh,180,2666,6023.35,17068,18182.40,2514,6423.39,18729,28941.88
Dima Hasao,29,61,329.30,1382,2361.60,800,3315.33,5786,15482.26
Goalpara,67,532,696.29,6226,5351.68,1391,2441.40,17178,16144.51
Golaghat,115,1452,3814.37,15811,12252.63,1809,3144.36,16826,16107.77
Hailakandi,44,1051,1597.26,8475,6783.78,74,223.45,1838,1908.46
Hojai,58,1102,1540.47,13165,9382.75,465,1380.01,5337,6065.68
Jorhat,135,1872,4713.34,15223,13481.89,1396,3099.78,17268,17799.18
Kamrup Metro,165,1525,1998.53,23839,16944.98,1772,3752.84,21095,19911.16
Karbi Anglong,65,275,690.48,1653,3558.42,3875,10302.11,22514,46456.76
Karimganj,87,2670,2418.89,24360,15033.65,167,286.01,3489,2815.56
Kokrajhar,51,473,1021.06,4635,5404.68,3009,11966.81,26376,62256.24
Lakhimpur,87,1047,1962.80,17410,15741.69,3653,7004.14,28392,38042.30
Majuli,13,145,367.72,1280,1348.37,543,1658.45,3483,4444.42
Morigaon,67,869,847.25,13090,8487.75,1173,1617.90,16837,11490.55
Nagaon,150,1998,6069.02,27732,20351.26,1344,2762.08,18074,15624.95
Nalbari,84,407,671.60,7996,6307.12,297,926.58,5251,6209.63
Sivasagar,96,1096,3402.74,9496,10089.40,629,2099.17,6861,9674.17
Sonitpur,123,2214,7115.39,14999,12898.32,1303,2989.84,16540,16982.22
South Salmara,11,24,106.24,93,232.58,12,58.75,87,224.92
Tinsukia,147,1278,3726.21,8409,10160.27,1351,3938.31,11979,18442.11
Udalguri,47,466,813.99,3641,3694.98,3406,6744.86,33850,41522.74
West Karbi Anglong,22,57,123.17,273,666.13,791,2121.28,4276,10803.13
