District,Total Branch,CY SANCTION A/C No.,CY SANCTION Amt,CY DISBURSED A/C No.,CY DISBURSED Amt,PMEGP O/S No.,PMEGP O/S Amt,PMEGP NPA No.,PMEGP NPA Amt,PMEGP NPA Amt. %
Baksa,53,3,13.30,21,35.04,1208,1804.31,856,1133.50,62.82
Barpeta,123,200,862.11,165,539.25,1803,3523.08,843,1365.80,38.77
Biswanath,57,27,137.02,61,145.04,414,660.19,166,209.65,31.76
Bongaigaon,56,18,54.54,22,45.30,692,926.54,389,494.18,53.34
Cachar,160,58,375.43,82,362.33,1785,2684.52,597,907.95,33.82
Charaideo,35,5,27.02,12,21.62,301,494.91,182,299.54,60.52
Chirang,33,12,50.30,14,40.54,1432,1773.17,1203,1387.53,78.25
Darrang,69,9,40.35,18,36.46,912,1507.61,587,854.65,56.69
Dhemaji,45,76,325.57,117,284.92,948,2176.32,378,683.92,31.43
Dhubri,87,54,164.48,80,170.63,1888,2722.30,1104,1317.79,48.41
Dibrugarh,180,101,528.77,134,366.21,1510,2821.26,645,1004.07,35.59
Dima Hasao,29,17,53.04,15,43.82,248,444.86,56,68.95,15.50
Goalpara,67,15,32.91,20,33.96,1050,1230.92,613,767.44,62.35
Golaghat,115,21,84.90,59,80.65,1220,1788.44,528,780.45,43.64
Hailakandi,44,31,121.64,35,94.37,759,1272.26,356,496.99,39.06
Hojai,58,16,62.99,37,80.44,658,854.76,188,216.14,25.29
Jorhat,135,30,192.35,41,139.17,1019,1511.04,413,515.41,34.11
Kamrup Metro,165,84,277.55,120,266.36,1545,2368.82,873,1114.08,47.03
Karbi Anglong,65,19,54.73,18,46.54,389,462.24,163,97.30,21.05
Karimganj,87,25,115.96,39,123.74,848,1447.05,294,441.89,30.54
Kokrajhar,51,22,73.53,28,67.30,1748,2251.97,1438,1728.67,76.76
Lakhimpur,87,43,244.80,74,175.70,1270,2558.04,537,1007.14,39.37
Majuli,13,5,16.34,10,22.19,187,234.12,71,70.97,30.31
Morigaon,67,28,135.49,38,111.22,841,1283.89,472,641.68,49.98
Nagaon,150,75,370.49,85,341.48,1688,3082.79,779,1124.89,36.49
Nalbari,84,23,100.03,26,67.77,1185,2195.63,719,1199.85,54.65
Sivasagar,96,54,297.83,82,289.52,896,1893.60,333,576.07,30.42
Sonitpur,123,69,324.89,81,272.07,1265,2419.99,550,840.86,34.75
South Salmara,11,0,0.00,0,0.00,490,621.41,434,538.12,86.60
Tinsukia,147,82,449.58,95,337.97,1307,2390.29,543,743.72,31.11
Udalguri,47,15,51.75,8,14.79,1728,2751.80,1440,2252.59,81.86
West Karbi Anglong,22,1,2.09,0,0.00,9,9.03,7,5.89,65.23
