District,Branch Network as on 30.09.2022,CD Ratio,During the FY
Baksa,53,66,34
Barpeta,124,63,48
Darrang,70,66,50
Dhubri,88,56,31
Goalpara,68,52,39
Hailakandi,45,43,39
Udalguri,48,69,25
