district,Agriculture No,Amt,MSME (NPS) No,Exp Credit No,Education (NPS) No,Housing (NPS) No,Personal Loans No,Others NPS No,Total ACP (NPS) No
Bishnupur,5,12528.60,10,0,1,58,758,2487,3319
Chandel,0,4804.58,0,0,1,22,8,559,590
Churachandpur,0,24970.30,0,0,0,130,335,2438,2903
Imphal East,0,35716.30,0,0,6,161,1965,5709,7841
Imphal West,39,143721.55,3,0,50,653,7647,16487,24879
Jiribam,0,1760.19,0,0,0,2,62,85,149
Kakching,0,9176.76,0,0,2,67,791,895,1755
Kamjong,0,927.54,0,0,0,0,1,74,75
Kangpokpi,0,8167.46,0,0,1,20,63,823,907
Noney,0,1419.25,0,0,0,0,32,83,115
Pherzawl,0,0.00,0,0,0,0,0,0,0
Senapati,0,9048.41,0,0,0,29,77,939,1045
Tamenglong,0,2014.20,0,0,0,1,96,72,169
Tengnoupal,0,3975.01,0,0,0,15,21,380,416
Thoubal,0,17605.53,0,0,3,117,980,3752,4852
Ukhrul,0,6571.14,0,0,0,2,166,498,666
