District,Housing Loan (PS) O/S No.,Housing Loan (PS) O/S Amt,Housing Loan (NPS) O/S No.,Housing Loan (NPS) O/S Amt,Rural Housing Loan O/S No.,Rural Housing Loan O/S Amt,Housing Loan Eligibleunder PMAY O/S No.,Housing Loan Eligibleunder PMAY O/S Amt,Current Year Disbursed under PMAY No.,Current Year Disbursed under PMAY Amt,PMAY O/S No.,PMAY O/S Amt
Bishnupur,436,4714.51,421,6817.69,3,85.16,1,20.00,1,20.00,1,19.00
Chandel,75,1079.43,102,1778.60,142,2442.27,0,0.00,0,0.00,0,0.00
Churachandpur,562,7712.71,1087,19666.20,1319,20407.13,0,0.00,0,0.00,0,0.00
Imphal East,863,8616.36,1083,21956.17,1008,16728.91,102,1034.63,1,0.07,102,1034.63
Imphal West,10034,34814.21,4629,95494.11,335,5493.66,63,644.51,2,0.13,63,644.51
Jiribam,5,49.46,8,147.14,2,32.72,0,0.00,0,0.00,0,0.00
Kakching,225,3593.35,353,6936.15,15,217.85,0,0.00,0,0.00,0,0.00
Kamjong,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Kangpokpi,115,1753.29,231,3400.12,302,4428.65,0,0.00,0,0.00,0,0.00
Noney,2,60.53,0,0.00,2,60.53,0,0.00,0,0.00,0,0.00
Pherzawl,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Senapati,197,3052.37,478,8197.18,650,10999.97,0,0.00,0,0.00,0,0.00
Tamenglong,9,101.87,8,142.21,0,0.00,0,0.00,0,0.00,0,0.00
Tengnoupal,58,862.94,69,1236.58,97,1613.34,0,0.00,0,0.00,0,0.00
Thoubal,661,7117.09,735,10886.73,266,3965.73,18,361.26,1,20.50,18,361.26
Ukhrul,10,108.83,10,466.37,0,0.00,0,0.00,0,0.00,0,0.00
