district,Smalland Marginal Farmers No,Smalland Marginal Farmers Amt,Scheduled Castes No,Scheduled Castes Amt,Scheduled Tribes No,Scheduled Tribes Amt,DRI scheme No,DRI scheme Amt,Self Help Groups No,Self Help Groups Amt,womenbeneficiaries No,womenbeneficiaries Amt,Minoritycommunities No,Minoritycommunities Amt,PMJDY No,PMJDY Amt,Others No,Others Amt,Tot Weaker Sec O/S No.,Tot Weaker Sec O/S Amt.
Bishnupur,9535,11671.96,592,979.14,73,245.32,0,0.00,502,444.84,4620,1773.50,632,838.42,21,0.59,1002,1145.48,16977,17099.25
Chandel,378,329.35,3,2.44,285,468.94,0,0.00,0,0.00,115,39.51,580,1539.11,0,0.00,105,129.64,1466,2508.99
Churachandpur,5217,15098.58,38,296.96,2761,8522.65,0,0.00,280,453.64,887,416.84,4425,17523.44,241,0.00,288,407.46,14137,42719.57
Imphal East,8585,14743.98,184,496.96,744,3340.41,1,0.07,885,1193.73,8454,2388.98,873,3346.21,49,0.03,767,871.15,20542,26381.52
Imphal West,24057,48299.94,641,2150.18,1714,8201.44,4,0.49,900,1175.73,8811,3106.48,1413,19182.82,158,1.28,1861,3101.61,39559,85219.97
Jiribam,256,467.30,11,18.64,0,0.00,0,0.00,43,50.59,38,8.40,17,63.86,0,0.00,12,19.95,377,628.74
Kakching,3161,6903.29,1581,4148.01,138,204.31,0,0.00,298,309.02,1427,450.53,116,336.53,0,0.00,338,422.22,7059,12773.91
Kamjong,19,20.78,0,0.00,15,5.55,0,0.00,0,0.00,46,17.08,109,104.72,0,0.00,1,1.76,190,149.89
Kangpokpi,1009,2201.42,57,308.05,705,1807.82,0,0.00,95,151.61,340,155.22,1538,5003.09,1,0.01,326,450.72,4071,10077.94
Noney,688,1690.20,6,6.92,731,918.70,0,0.00,100,114.23,244,114.64,827,1178.97,1,0.00,17,25.07,2614,4048.73
Pherzawl,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Senapati,3011,5304.42,1,6.29,432,1505.48,0,0.00,122,502.15,736,384.55,2749,9004.01,0,0.00,172,251.21,7223,16958.11
Tamenglong,1759,9586.17,0,0.00,276,655.17,10,0.62,11,11.76,69,24.94,453,1439.68,4,0.00,26,27.14,2608,11745.48
Tengnoupal,885,1608.29,19,71.24,965,1253.77,0,0.00,112,107.65,402,214.88,877,1287.23,4,0.11,77,168.44,3341,4711.61
Thoubal,7964,14613.10,247,575.47,110,176.58,12,1.96,858,1427.55,5426,1505.36,1894,2665.57,159,2.43,808,917.11,17478,21885.13
Ukhrul,2417,9306.50,2,17.11,1010,1862.51,0,0.00,56,50.69,278,140.69,530,1353.99,0,0.00,107,310.88,4400,13042.37
