district,Export Credit No,Amt,Education (PS) No,Housing (PS) No,Social Infrastructure No,Renewable Energy No,Informal Credit No,Total Other PS Disb No,Loanstoweaker No
Bishnupur,0,4973.00,14,60,1,5,44,124,2648
Chandel,0,378.07,9,1,0,0,3,13,302
Churachandpur,0,8504.70,48,28,0,0,20,96,2124
Imphal East,0,7300.57,58,151,0,26,56,291,3056
Imphal West,0,18025.74,292,321,2,106,19,740,4868
Jiribam,0,225.80,0,0,0,0,16,16,38
Kakching,0,2404.27,11,10,0,1,13,35,876
Kamjong,0,26.19,0,0,0,0,0,0,31
Kangpokpi,0,1502.73,13,6,0,14,0,33,621
Noney,0,765.71,6,0,0,0,0,6,125
Pherzawl,0,0.00,0,0,0,0,0,0,0
Senapati,0,2806.53,11,10,0,0,3,24,1332
Tamenglong,0,1578.42,1,1,0,0,0,2,202
Tengnoupal,0,417.25,4,6,0,0,0,10,203
Thoubal,0,8089.46,36,212,0,3,0,251,3116
Ukhrul,0,2929.19,6,1,0,0,7,14,701
