District,Bank Name,KCCsfor AH and Allied Activities No.,Amt,Farm Production No.,Dairy No.,Farm Mechanisation No.,Poultry No.,fisheries No.,Godown No.,Clinic No.,Other No.,Total IC-Agri O/S No.
Bishnupur,,285,6516.99,0,19,0,146,483,0,0,1686,2619
Chandel,,102,120.50,0,2,0,11,1,0,0,3,119
Churachandpur,,382,1370.20,0,105,10,111,37,0,0,361,1006
Imphal East,,462,6770.15,9,78,55,383,81,0,0,1633,2701
Imphal West,,836,19189.06,12,138,22,304,250,0,1,4068,5631
Jiribam,,15,55.00,0,2,0,2,1,0,0,5,25
Kakching,,287,2007.27,0,9,0,40,295,0,0,201,832
Kamjong,,0,0.00,0,0,0,0,0,0,0,0,0
Kangpokpi,,95,574.79,0,13,0,67,2,0,0,139,316
Noney,,0,97.26,0,0,0,2,1,0,0,82,85
Pherzawl,,0,0.00,0,0,0,0,0,0,0,0,0
Senapati,,28,346.73,0,11,27,12,7,0,0,52,137
Tamenglong,,77,139.17,0,4,1,16,2,0,0,81,181
Tengnoupal,,40,76.81,0,0,0,1,2,0,0,37,80
Thoubal,,376,8515.79,1,23,30,138,84,0,0,2533,3185
Ukhrul,,31,461.82,0,13,0,23,8,0,0,308,383
