District,ATM ATM Rural,ATM Semi-Urban,ATM Urban,Total ATM,Branch Branch Rural,Branch Semi-Urban,Branch Urban,Total Branch,BC BC Total,BC Fix,BC Other
Bishnupur,3,12,0,15,5,19,0,24,490,462,28
Chandel,4,0,0,4,5,0,0,5,69,68,5
Churachandpur,26,3,0,29,22,3,0,25,427,382,45
Imphal East,17,33,12,62,29,3,8,40,563,515,47
Imphal West,13,6,165,184,9,10,55,74,2835,690,2144
Jiribam,2,1,0,3,5,1,0,6,46,38,8
Kakching,1,18,0,19,1,11,0,12,140,99,41
Kamjong,1,0,0,1,1,0,0,1,49,49,0
Kangpokpi,10,0,0,10,15,0,0,15,68,58,9
Noney,2,0,0,2,7,0,0,7,29,28,1
Pherzawl,0,0,0,0,0,0,0,0,8,8,0
Senapati,17,0,0,17,18,1,0,19,142,129,13
Tamenglong,0,3,0,3,3,4,0,7,97,80,17
Tengnoupal,4,4,0,8,3,4,0,7,131,61,70
Thoubal,3,27,0,30,9,14,0,23,873,815,55
Ukhrul,3,7,0,10,5,6,0,11,179,154,25
