district,During the Quarter Savings Linked No,During the Quarter Savings Linked Amount,During the Quarter Credit Linked No,During the Quarter Credit Linked Amount,Current FY Savings Linked No,Current FY Savings Linked Amount,Current FY Credit Linked No,Current FY Credit Linked Amount,SHG O/S No.,SHG O/S Amt.,SHG NPA No.,SHG NPA Amt.,SHG NPA Amt. %
Bishnupur,74,12.31,65,125.34,194,24.01,89,162.60,582,559.75,175,111.82,19.98
Chandel,10,0.11,0,0.00,21,0.36,0,0.00,2,0.07,2,0.07,100.00
Churachandpur,148,2.16,32,68.28,247,4.92,68,125.04,303,307.84,112,46.61,15.14
Imphal East,31,4.44,194,508.32,142,27.42,264,676.66,940,1325.48,68,42.83,3.23
Imphal West,120,14.79,100,252.94,377,142.69,209,468.66,970,1301.66,106,81.81,6.29
Jiribam,7,0.07,11,16.52,38,0.53,27,64.52,27,30.70,1,0.33,1.07
Kakching,73,1.63,51,78.49,124,2.96,96,155.93,345,366.35,105,63.17,17.24
Kamjong,11,0.00,0,0.00,25,0.01,0,0.00,0,0.00,0,0.00,0.00
Kangpokpi,121,0.98,21,30.62,145,1.50,22,32.02,98,167.07,6,5.11,3.06
Noney,11,0.17,16,33.50,67,1.86,21,37.00,100,114.23,14,9.17,8.03
Pherzawl,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
Senapati,167,2.36,35,280.17,217,3.13,36,282.81,127,524.57,4,1.29,0.25
Tamenglong,69,1.46,16,23.30,88,1.89,30,39.31,48,53.30,6,0.85,1.59
Tengnoupal,5,0.05,5,11.05,6,0.06,6,13.10,113,110.61,19,23.31,21.07
Thoubal,31,1.25,130,557.80,70,150.83,260,847.70,860,1345.53,183,101.86,7.57
Ukhrul,79,0.89,29,41.59,151,2.40,31,44.59,101,89.81,17,3.48,3.87
