District,CY SANCTION A/C No.,CY SANCTION Amt,CY DISBURSED A/C No.,CY DISBURSED Amt,PMEGP O/S No.,PMEGP O/S Amt,PMEGP NPA No.,PMEGP NPA Amt,PMEGP NPA Amt. %
Bishnupur,24,92.83,70,179.62,678,1383.50,384,669.60,48.40
Chandel,7,18.44,95,242.21,302,565.64,136,230.54,40.76
Churachandpur,6,45.17,27,65.83,399,1085.44,222,383.54,35.33
Imphal East,22,96.41,88,287.71,858,2766.06,366,829.86,30.00
Imphal West,55,228.08,260,917.05,1695,6187.06,878,2685.48,43.40
Jiribam,0,0.00,1,2.08,12,25.60,7,10.90,42.58
Kakching,4,8.28,47,122.29,252,508.93,125,216.70,42.58
Kamjong,2,15.79,6,19.96,38,78.80,30,56.54,71.75
Kangpokpi,0,0.00,20,59.10,213,569.64,117,276.00,48.45
Noney,0,0.00,1,1.18,31,71.87,12,18.30,25.46
Pherzawl,0,0.00,0,0.00,0,0.00,0,0.00,0.00
Senapati,1,9.48,121,307.80,562,1257.87,292,506.42,40.26
Tamenglong,4,14.25,6,23.57,176,295.22,106,159.86,54.15
Tengnoupal,0,0.00,9,17.36,83,170.26,54,105.78,62.13
Thoubal,24,82.55,58,154.78,538,1438.40,257,467.94,32.53
Ukhrul,6,26.94,24,74.98,316,538.07,168,220.52,40.98
