District,BHIM/UPI A/C,BHIM/UPI Amt,BHIM Aadhaar A/C,BHIM Aadhaar Amt,Bharat QR Code A/C,Bharat QR Code Amt,IMPS A/C,IMPS Amt,Cards (Debit & Credit) A/C,Cards (Debit & Credit) Amt,USSD A/C,USSD Amt
Bishnupur,7778678,184175,373,5236.83,1229,3501.31,58396,192536.91,177517,5615.66,31976,800.54
Chandel,2448506,36617.55,57,443.4,16,0.27,5525,514.8,8726,423.93,16192,508.42
Churachandpur,16964754,306119,354,2574.69,1183,128.34,59994,334059.14,113257,5197.37,65775,1582.05
Imphal East,19550957,453075.8,362,5969.79,5935,1215.38,310930,878208.63,396584,26240.31,54462,1404.93
Imphal West,51501904,1281560,996,7991.56,20098,2219.94,430302,1819662.75,913101,51244.37,185650,5403.56
Jiribam,3039847,44619.82,56,503.49,8,38.65,25575,2085.84,25791,1337.8,2327,78.74
Kakching,6146151,136389.6,82,260.15,1460,206.68,91649,374974.25,98046,3905.06,24454,525.27
Kamjong,372356,6070.15,0,0,0,0,0,0,27,0.25,977,23.31
Kangpokpi,7551188,130887.3,1,0.05,0,0,16339,3819.26,26216,999.19,32041,856.95
Noney,1060952,20464.67,25,117.14,2,34.58,478,271.73,17954,304.72,2091,59.59
Pherzawl,8,58.11,8,58.11,0,0,0,0,0,0,0,0
Senapati,7983885,161154.1,169,1386.67,911,102.85,24509,182307.66,32261,1821.4,31327,820.55
Tamenglong,2247650,38432.9,143,378.59,0,0,9895,1328.27,32840,1494.1,1216,35.44
Tengnoupal,2147113,40595.22,3,4.78,220,42.98,10962,264526.82,20996,788.7,12428,373.25
Thoubal,12282060,298589.3,474,8739.58,1296,474.86,66483,223800.35,195264,6857.86,31598,913.53
Ukhrul,5874061,110901.1,63,444.65,3,69.34,25464,5135.29,56618,2937.07,15938,436.94
